sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1556268660444
2,0.000000,0.000000,0.000000,1556268660444
4,0.000000,0.000000,0.000000,1556268660444
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1556268660452
2,0.000000,0.000000,0.000000,1556268660453
4,0.000000,0.000000,0.000000,1556268660453
-3, 0.000000, 0, 0, 0
1,0.193624,-0.045356,9.851757,1556268660463
2,86.687500,-45.187500,-172.875000,1556268660463
4,-0.000401,0.000471,-0.001222,1556268660463
-3, -2.042766, 0, 0, 0
1,0.206026,-0.041362,9.869062,1556268660473
2,86.500000,-45.312500,-173.250000,1556268660473
4,0.000838,0.002548,-0.001012,1556268660473
-3, -2.043123, 0, 0, 0
1,0.009870,-0.002140,0.486863,1556268660483
2,4.275504,-2.234256,-8.545071,1556268660483
4,0.000011,0.000075,-0.000055,1556268660483
-3, 0.000000, 0, 0, 0
1,0.009870,-0.002140,0.486863,1556268660492
2,4.275504,-2.234256,-8.545071,1556268660493
4,0.000011,0.000075,-0.000055,1556268660493
-3, 0.000000, 0, 0, 0
1,0.188586,-0.059520,9.836884,1556268660502
2,86.625000,-45.437500,-173.625000,1556268660502
4,0.000192,0.003386,-0.001484,1556268660503
-3, -2.047770, 0, 0, 0
1,0.014338,-0.003574,0.720613,1556268660512
2,6.334240,-3.314336,-12.672065,1556268660512
4,0.000016,0.000158,-0.000091,1556268660513
-3, 0.000000, 0, 0, 0
1,0.180360,-0.037579,9.871131,1556268660523
2,86.812500,-45.687500,-173.375000,1556268660523
4,-0.000559,0.003857,-0.000262,1556268660523
-3, -2.046449, 0, 0, 0
1,0.193796,-0.041717,9.866208,1556268660533
2,86.875000,-45.750000,-173.312500,1556268660533
4,0.001257,0.002059,-0.000576,1556268660534
-3, -2.046284, 0, 0, 0
1,0.183329,-0.049407,9.857953,1556268660543
2,86.750000,-45.875000,-173.312500,1556268660543
4,0.000297,0.002880,0.000122,1556268660543
-3, -2.049937, 0, 0, 0
1,0.187753,-0.034065,9.849085,1556268660553
2,86.875000,-45.875000,-173.250000,1556268660553
4,0.000489,0.001065,-0.001239,1556268660553
-3, -2.046678, 0, 0, 0
1,0.205059,-0.035185,9.867836,1556268660562
2,86.937500,-45.875000,-173.187500,1556268660563
