sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1560849210201
2,0.000000,0.000000,0.000000,1560849210202
4,0.000000,0.000000,0.000000,1560849210203
-3, 0.000000, 0.000000, 0.000000, 1560849210205
1,0.000000,0.000000,0.000000,1560849210209
2,0.000000,0.000000,0.000000,1560849210211
4,0.000000,0.000000,0.000000,1560849210212
-3, 0.000000, 0.000000, 0.000000, 1560849210213
1,-0.000843,-0.307128,9.795618,1560849210219
2,12.375000,-22.375000,-44.375000,1560849210221
4,-0.028903,0.016720,-0.019129,1560849210222
-3, 0.000000, 0.000000, 0.000000, 1560849210223
1,0.003984,-0.306563,9.809044,1560849210229
2,12.437500,-22.187500,-44.625000,1560849210230
4,-0.026669,0.017837,-0.013474,1560849210232
-3, 0.031241, 0.000000, 3.624176, 1560849210233
1,0.038786,-0.327038,9.822672,1560849210239
2,12.437500,-22.312500,-44.187500,1560849210240
4,-0.025779,0.017209,-0.010838,1560849210241
-3, 0.031590, 0.000175, 3.624525, 1560849210242
1,0.021184,-0.339153,9.798281,1560849210251
2,12.625000,-22.000000,-44.625000,1560849210251
4,-0.026634,0.007627,-0.008500,1560849210252
-3, 0.032638, 0.000524, 3.627318, 1560849210253
1,0.037666,-0.349601,9.770489,1560849210259
2,12.750000,-21.875000,-44.937500,1560849210261
4,-0.027279,-0.005515,-0.006754,1560849210262
-3, 0.032987, 0.000524, 3.629761, 1560849210263
1,0.002453,-0.038821,1.165131,1560849210269
2,1.489842,-2.633011,-5.297867,1560849210270
4,-0.003215,0.001248,-0.001378,1560849210271
-3, 0.032987, 0.000524, 3.629761, 1560849210272
1,0.002453,-0.038821,1.165131,1560849210280
2,1.489842,-2.633011,-5.297867,1560849210282
4,-0.003215,0.001248,-0.001378,1560849210284
-3, 0.032987, 0.000524, 3.629761, 1560849210286
1,0.013944,-0.345301,9.773840,1560849210292
2,12.687500,-21.812500,-44.875000,1560849210293
4,-0.025656,-0.031608,-0.005952,1560849210295
-3, 0.033510, 0.000698, 3.631506, 1560849210298
1,0.020437,-0.370699,9.734163,1560849210304
2,12.625000,-21.750000,-44.875000,1560849210305
4,-0.024225,-0.038450,-0.005323,1560849210307
-3, 0.034383, 0.001222, 3.633252, 1560849210308
1,0.006445,-0.322087,9.707291,1560849210311
2,12.500000,-21.750000,-44.937500,1560849210311
4,-0.033458,-0.039305,-0.000681,1560849210312
-3, 0.034558, 0.001571, 3.634124, 1560849210313
1,-0.004836,-0.333244,9.724988,1560849210319
2,12.875000,-21.625000,-44.875000,1560849210320
4,-0.034051,-0.026320,0.000489,1560849210322
-3, 0.034558, 0.001745, 3.634823, 1560849210322
1,0.033251,-0.322528,9.715680,1560849210330
2,2.566943,-4.472529,-9.111143,1560849210330
4,-0.032114,-0.020036,0.003892,1560849210331
-3, 0.034558, 0.001745, 3.635870, 1560849210331
1,0.066425,-0.342620,9.737161,1560849210340
2,12.687500,-21.750000,-45.000000,1560849210340
4,-0.030229,-0.019199,0.005480,1560849210340
-3, 0.034732, 0.001920, 3.636393, 1560849210341
1,0.005382,-0.081141,2.372436,1560849210350
2,2.819956,-4.904466,-10.008364,1560849210350
4,-0.006997,-0.002997,-0.001207,1560849210351
-3, 0.034732, 0.001920, 3.636393, 1560849210351
1,0.005382,-0.081141,2.372436,1560849210359
2,2.819956,-4.904466,-10.008364,1560849210360
4,-0.006997,-0.002997,-0.001207,1560849210360
-3, 0.034732, 0.001920, 3.636393, 1560849210361
1,0.005382,-0.081141,2.372436,1560849210370
2,2.819956,-4.904466,-10.008364,1560849210370
4,-0.006997,-0.002997,-0.001207,1560849210370
-3, 0.034732, 0.001920, 3.636393, 1560849210371
1,0.005382,-0.081141,2.372436,1560849210379
2,2.819956,-4.904466,-10.008364,1560849210380
4,-0.006997,-0.002997,-0.001207,1560849210380
-3, 0.034732, 0.001920, 3.636393, 1560849210381
1,0.005382,-0.081141,2.372436,1560849210390
2,2.819956,-4.904466,-10.008364,1560849210390
4,-0.006997,-0.002997,-0.001207,1560849210391
-3, 0.034732, 0.001920, 3.636393, 1560849210391
1,0.078587,-0.309331,9.763353,1560849210399
2,12.687500,-21.500000,-44.250000,1560849210399
4,-0.025080,-0.010804,0.010786,1560849210400
-3, 0.034732, 0.002618, 3.637790, 1560849210400
1,0.037723,-0.443923,9.879769,1560849210409
2,12.625000,-21.312500,-43.937500,1560849210409
4,-0.091735,0.023859,0.013369,1560849210410
-3, 0.036826, 0.002269, 3.639709, 1560849210410
1,0.007975,-0.095773,2.740272,1560849210419
2,3.305603,-5.719182,-11.691230,1560849210420
4,-0.009556,-0.002516,-0.000551,1560849210420
-3, 0.036826, 0.002269, 3.639709, 1560849210420
1,0.007975,-0.095773,2.740272,1560849210430
2,3.305603,-5.719182,-11.691230,1560849210431
4,-0.009556,-0.002516,-0.000551,1560849210431
-3, 0.036826, 0.002269, 3.639709, 1560849210433
1,0.044934,-0.435955,9.969532,1560849210440
2,12.687500,-21.062500,-44.187500,1560849210441
4,-0.073374,-0.001588,-0.014504,1560849210441
-3, 0.040841, 0.002443, 3.640757, 1560849210445
1,0.045097,-0.431215,9.938781,1560849210449
2,12.812500,-21.312500,-44.375000,1560849210450
4,-0.011152,-0.002493,-0.000900,1560849210451
-3, 0.041888, 0.002618, 3.641280, 1560849210452
1,0.023205,-0.411640,9.866552,1560849210460
2,12.875000,-21.125000,-44.187500,1560849210460
4,-0.060179,0.031887,-0.011327,1560849210460
-3, 0.043459, 0.002618, 3.642502, 1560849210460
1,0.010803,-0.417903,9.815231,1560849210469
2,12.875000,-21.250000,-44.125000,1560849210469
4,-0.062134,0.039846,-0.004346,1560849210469
-3, 0.043982, 0.002269, 3.642851, 1560849210469
1,0.020466,-0.455894,9.772126,1560849210479
2,12.875000,-21.187500,-44.125000,1560849210479
4,-0.060825,0.031748,-0.002321,1560849210479
-3, 0.044506, 0.001920, 3.643200, 1560849210479
1,0.097071,-0.453558,9.858173,1560849210489
2,13.062500,-21.125000,-44.062500,1560849210489
4,-0.052691,0.006021,-0.005009,1560849210489
-3, 0.045204, 0.001745, 3.643898, 1560849210489
1,0.132572,-0.446183,9.937815,1560849210499
2,13.000000,-21.250000,-44.312500,1560849210499
4,-0.037158,-0.013474,-0.007156,1560849210499
-3, 0.045553, 0.001920, 3.644771, 1560849210499
1,0.169098,-0.448568,9.980881,1560849210509
2,12.937500,-21.437500,-44.000000,1560849210509
4,-0.024470,-0.022340,-0.010245,1560849210509
-3, 0.045902, 0.002269, 3.645469, 1560849210509
1,0.181423,-0.425584,9.964571,1560849210519
2,13.187500,-21.500000,-43.875000,1560849210520
4,-0.014957,-0.018326,-0.013963,1560849210520
-3, 0.046077, 0.002967, 3.646342, 1560849210520
1,0.142206,-0.424425,9.927050,1560849210529
2,13.062500,-21.375000,-43.875000,1560849210529
4,-0.014870,-0.008622,-0.013474,1560849210529
-3, 0.046077, 0.003491, 3.647389, 1560849210529
1,0.137293,-0.444689,9.918392,1560849210539
2,13.000000,-21.062500,-44.000000,1560849210539
4,-0.015307,-0.000087,-0.013352,1560849210540
-3, 0.046077, 0.004014, 3.648436, 1560849210540
1,0.029207,-0.178525,4.482026,1560849210549
2,5.650359,-9.493990,-19.567448,1560849210550
4,-0.016383,-0.001155,-0.002592,1560849210550
-3, 0.046077, 0.004014, 3.648436, 1560849210550
1,0.090166,-0.445887,9.928017,1560849210559
2,13.375000,-20.875000,-44.125000,1560849210559
4,-0.012881,0.020228,-0.015359,1560849210559
-3, 0.046251, 0.004363, 3.650705, 1560849210559
1,0.044274,-0.474531,9.849698,1560849210569
2,13.562500,-20.812500,-44.125000,1560849210569
4,-0.017453,0.016842,-0.012758,1560849210569
-3, 0.046251, 0.004189, 3.651927, 1560849210569
1,0.036583,-0.485477,9.849564,1560849210579
2,13.687500,-20.750000,-44.250000,1560849210579
4,-0.023230,0.006126,-0.013265,1560849210579
-3, 0.046426, 0.004189, 3.653149, 1560849210579
1,0.089275,-0.439336,9.936435,1560849210589
2,13.812500,-20.500000,-44.500000,1560849210589
4,-0.020036,-0.003124,-0.016685,1560849210589
-3, 0.046600, 0.004189, 3.654545, 1560849210589
1,0.086919,-0.411008,9.944288,1560849210599
2,13.812500,-20.437500,-44.812500,1560849210599
4,-0.006388,-0.012252,-0.017959,1560849210599
-3, 0.046600, 0.004363, 3.655941, 1560849210599
1,0.100058,-0.356937,9.915482,1560849210609
2,13.875000,-20.437500,-44.875000,1560849210609
4,0.003805,-0.022148,-0.017802,1560849210609
-3, 0.046600, 0.004538, 3.657337, 1560849210609
1,0.113581,-0.311610,9.860970,1560849210619
2,13.875000,-20.625000,-44.937500,1560849210619
4,0.012444,-0.031137,-0.013910,1560849210619
-3, 0.046251, 0.004887, 3.658734, 1560849210619
1,0.143461,-0.302972,9.746019,1560849210629
2,13.937500,-21.125000,-44.750000,1560849210629
4,0.015865,-0.048014,-0.010315,1560849210629
-3, 0.045902, 0.005411, 3.660130, 1560849210629
1,0.179287,-0.286193,9.636049,1560849210639
2,14.062500,-21.312500,-44.812500,1560849210639
4,0.005725,-0.061575,-0.008308,1560849210639
-3, 0.045379, 0.006109, 3.661352, 1560849210639
1,0.223073,-0.294334,9.664827,1560849210649
2,13.687500,-21.375000,-44.812500,1560849210649
4,-0.012322,-0.072867,-0.009215,1560849210649
-3, 0.044855, 0.006981, 3.662573, 1560849210649
1,0.292638,-0.244659,9.862454,1560849210659
2,13.375000,-21.437500,-45.000000,1560849210659
4,-0.019268,-0.083584,-0.010838,1560849210659
-3, 0.044506, 0.008029, 3.663620, 1560849210659
1,0.287285,-0.212519,10.046368,1560849210669
2,13.187500,-21.375000,-44.812500,1560849210669
4,-0.011135,-0.092520,-0.018919,1560849210669
-3, 0.044331, 0.009250, 3.664668, 1560849210669
1,0.343194,-0.283646,10.144444,1560849210679
2,13.125000,-21.625000,-44.562500,1560849210679
4,0.014888,-0.097738,-0.023126,1560849210679
-3, 0.043982, 0.010472, 3.665715, 1560849210679
1,0.355874,-0.254398,10.087739,1560849210689
