sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1560849671509
2,0.000000,0.000000,0.000000,1560849671510
4,0.000000,0.000000,0.000000,1560849671510
-3, 0.000000, 0.000000, 0.000000, 1560849671510
1,0.000000,0.000000,0.000000,1560849671518
2,12.125000,-19.312500,-44.062500,1560849671518
4,-0.015080,0.013020,-0.004817,1560849671518
-3, 0.000000, 0.027227, 3.744604, 1560849671518
1,0.269874,0.013618,9.774549,1560849671528
2,12.437500,-19.312500,-43.937500,1560849671528
4,-0.018902,0.008308,-0.011222,1560849671529
-3, 0.000000, 0.027053, 3.749665, 1560849671530
1,0.006747,0.000340,0.244363,1560849671538
2,0.606484,-0.953554,-2.172459,1560849671538
4,-0.000840,0.000525,-0.000398,1560849671538
-3, 0.000000, 0.027053, 3.749665, 1560849671538
1,0.204455,-0.005363,9.794555,1560849671548
2,12.250000,-19.312500,-43.812500,1560849671548
4,-0.008901,-0.001518,-0.015219,1560849671548
-3, 0.000349, 0.026180, 3.749142, 1560849671548
1,0.011690,0.000198,0.483118,1560849671558
2,0.897571,-1.412527,-3.213459,1560849671558
4,-0.001042,0.000474,-0.000769,1560849671558
-3, 0.000349, 0.026180, 3.749142, 1560849671558
1,0.011690,0.000198,0.483118,1560849671568
2,0.897571,-1.412527,-3.213459,1560849671568
4,-0.001042,0.000474,-0.000769,1560849671568
-3, 0.000349, 0.026180, 3.749142, 1560849671568
1,0.221990,-0.037675,9.801680,1560849671579
2,12.187500,-19.250000,-44.250000,1560849671579
4,-0.030473,0.003403,-0.004311,1560849671580
-3, 0.000873, 0.024260, 3.742509, 1560849671580
1,0.016947,-0.000749,0.716082,1560849671588
2,1.179819,-1.858464,-4.239371,1560849671588
4,-0.001777,0.000547,-0.000857,1560849671589
-3, 0.000873, 0.024260, 3.742509, 1560849671589
1,0.257032,-0.046744,9.993389,1560849671599
2,12.375000,-19.187500,-44.312500,1560849671599
4,-0.016249,0.005445,-0.007086,1560849671599
-3, 0.001571, 0.023213, 3.741637, 1560849671600
1,0.022949,-0.001899,0.948014,1560849671608
2,1.459699,-2.291689,-5.241199,1560849671611
4,-0.002139,0.000670,-0.001013,1560849671611
-3, 0.001920, 0.023213, 3.742335, 1560849671611
1,0.210987,-0.008964,9.897200,1560849671618
2,12.250000,-19.062500,-44.500000,1560849671618
