sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1550563023938
2,0.000000,0.000000,0.000000,1550563023939
4,0.000000,0.000000,0.000000,1550563023939
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1550563023945
2,0.000000,0.000000,0.000000,1550563023946
4,0.000000,0.000000,0.000000,1550563023946
-3, 0.000000, 0, 0, 0
1,0.227191,-0.193423,9.879673,1550563023956
2,-4.062500,-18.562500,-48.875000,1550563023956
4,-0.023038,0.019705,0.018326,1550563023956
-3, 2.992188, 0, 0, 0
1,0.229527,-0.152616,9.889509,1550563023966
2,-4.062500,-18.375000,-49.125000,1550563023966
4,-0.018658,0.021398,0.016825,1550563023966
-3, 2.990057, 0, 0, 0
1,0.242494,-0.133041,9.853903,1550563023975
2,-3.937500,-18.625000,-49.312500,1550563023976
4,-0.009564,0.014067,0.013073,1550563023976
-3, 3.001350, 0, 0, 0
1,0.017056,-0.011643,0.722200,1550563023985
2,-0.294009,-1.354664,-3.591776,1550563023986
4,-0.001241,0.001342,0.001172,1550563023986
-3, 0.000000, 0, 0, 0
1,0.280878,-0.127400,9.802206,1550563023995
2,-3.812500,-18.375000,-49.375000,1550563023995
4,0.001571,-0.013055,-0.004957,1550563023995
-3, 3.016218, 0, 0, 0
1,0.218648,-0.151591,9.776024,1550563024005
2,-3.812500,-18.312500,-49.500000,1550563024005
4,0.002897,-0.017907,-0.010315,1550563024006
-3, 3.000765, 0, 0, 0
1,0.028527,-0.017963,1.169871,1550563024015
2,-0.467734,-2.193480,-5.855445,1550563024015
4,-0.001069,0.000509,0.000736,1550563024016
-3, 3.000263, 0, 0, 0
1,0.209196,-0.172325,9.817243,1550563024026
2,-3.687500,-18.000000,-49.500000,1550563024026
4,-0.003787,-0.003386,-0.005428,1550563024027
-3, 3.002979, 0, 0, 0
1,0.222718,-0.179805,9.822634,1550563024035
2,-3.500000,-18.000000,-49.312500,1550563024035
4,-0.010071,0.006144,-0.003735,1550563024035
-3, 3.016263, 0, 0, 0
1,0.204695,-0.171042,9.824368,1550563024045
2,-3.562500,-18.250000,-49.562500,1550563024046
4,-0.017820,0.003281,-0.003840,1550563024046
-3, 3.010009, 0, 0, 0
1,0.192829,-0.187131,9.848472,1550563024055
2,-3.750000,-18.125000,-49.375000,1550563024056
4,-0.021345,0.003543,0.000855,1550563024056
-3, 2.996624, 0, 0, 0
1,0.185445,-0.205030,9.833417,1550563024066
2,-3.875000,-17.937500,-49.437500,1550563024067
4,-0.021293,0.001484,0.003979,1550563024067
-3, 2.987686, 0, 0, 0
1,0.213237,-0.215315,9.818468,1550563024075
2,-3.875000,-17.875000,-49.437500,1550563024076
4,-0.019705,-0.010402,0.005306,1550563024076
-3, 2.994908, 0, 0, 0
1,0.217269,-0.226348,9.816151,1550563024085
2,-4.125000,-17.812500,-49.562500,1550563024086
4,-0.019565,-0.022009,0.003613,1550563024086
-3, 2.983197, 0, 0, 0
1,0.241115,-0.201563,9.818324,1550563024095
2,-4.125000,-17.687500,-49.625000,1550563024096
4,-0.020159,-0.023230,0.002147,1550563024096
-3, 2.987484, 0, 0, 0
1,0.254006,-0.171501,9.830334,1550563024106
2,-4.000000,-17.875000,-49.687500,1550563024106
4,-0.021974,-0.018745,-0.001902,1550563024106
-3, 2.997707, 0, 0, 0
1,0.280131,-0.150002,9.842237,1550563024116
2,-4.000000,-17.875000,-49.875000,1550563024116
4,-0.025429,-0.009861,-0.006737,1550563024116
-3, 3.004043, 0, 0, 0
1,0.289718,-0.147722,9.859543,1550563024126
2,-4.000000,-17.750000,-49.812500,1550563024126
4,-0.030159,0.000593,-0.008029,1550563024126
-3, 3.005370, 0, 0, 0
1,0.265000,-0.141143,9.879654,1550563024136
2,-3.875000,-17.625000,-49.562500,1550563024136
4,-0.034819,0.003368,-0.006720,1550563024136
-3, 3.003664, 0, 0, 0
1,0.234613,-0.154551,9.926436,1550563024146
2,-3.750000,-17.875000,-49.812500,1550563024146
4,-0.032865,0.004032,-0.000733,1550563024146
-3, 3.004545, 0, 0, 0
1,0.250644,-0.144801,9.986484,1550563024156
2,-3.562500,-17.937500,-49.937500,1550563024156
4,-0.025429,0.002967,0.002531,1550563024156
-3, 3.018511, 0, 0, 0
1,0.289344,-0.152300,9.992315,1550563024165
2,-3.500000,-17.750000,-49.750000,1550563024166
4,-0.012025,0.001466,0.004712,1550563024166
-3, 3.030818, 0, 0, 0
1,0.295243,-0.174566,9.903692,1550563024176
2,-3.437500,-17.812500,-49.687500,1550563024176
4,-0.005114,-0.014835,0.001885,1550563024176
-3, 3.037331, 0, 0, 0
1,0.251324,-0.231337,9.838503,1550563024185
2,-3.437500,-17.875000,-49.500000,1550563024186
4,-0.004555,-0.032830,0.001693,1550563024186
-3, 3.027962, 0, 0, 0
1,0.245808,-0.250271,9.817127,1550563024196
2,-3.562500,-17.750000,-49.437500,1550563024196
4,-0.008587,-0.037420,0.004136,1550563024196
-3, 3.019921, 0, 0, 0
1,0.256457,-0.198901,9.875095,1550563024205
2,-3.562500,-17.687500,-49.375000,1550563024206
4,-0.011083,-0.023789,0.002339,1550563024206
-3, 3.020163, 0, 0, 0
1,0.243960,-0.146966,9.857580,1550563024215
2,-3.687500,-17.812500,-49.375000,1550563024216
4,-0.014050,-0.011397,-0.001152,1550563024216
-3, 3.009476, 0, 0, 0
1,0.229614,-0.147224,9.799075,1550563024225
2,-3.750000,-17.875000,-49.437500,1550563024226
4,-0.021537,-0.003805,-0.001309,1550563024226
-3, 3.003311, 0, 0, 0
1,0.220123,-0.172881,9.793022,1550563024236
2,-3.687500,-17.625000,-49.375000,1550563024236
4,-0.029356,-0.004136,-0.000297,1550563024236
-3, 3.003146, 0, 0, 0
1,0.262069,-0.189994,9.846145,1550563024245
2,-3.937500,-17.687500,-49.187500,1550563024246
4,-0.031835,-0.003176,0.000017,1550563024246
-3, 3.001521, 0, 0, 0
1,0.267174,-0.182103,9.975355,1550563024255
2,-3.875000,-17.812500,-49.250000,1550563024256
