sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1559300701452
2,0.000000,0.000000,0.000000,1559300701453
4,0.000000,0.000000,0.000000,1559300701453
-3, 0.000000, 0.000000, 0.000000, 1559300701453
1,0.000000,0.000000,0.000000,1559300701459
2,0.000000,0.000000,0.000000,1559300701460
4,0.000000,0.000000,0.000000,1559300701460
-3, 0.000000, 0.000000, 0.000000, 1559300701460
1,-0.147569,-0.583199,9.854610,1559300701470
2,-22.562500,9.437500,-34.625000,1559300701470
4,-0.026983,-0.030910,-0.057299,1559300701470
-3, 0.057596, -0.013788, 1.259779, 1559300701470
1,-0.144016,-0.585296,9.895111,1559300701482
2,-22.375000,9.437500,-35.000000,1559300701485
4,-0.015813,-0.023492,-0.057596,1559300701486
-3, 0.057945, -0.013439, 1.259255, 1559300701487
1,-0.007197,-0.028848,0.487583,1559300701489
2,-1.109335,0.465976,-1.718983,1559300701490
4,-0.001053,-0.001341,-0.002837,1559300701490
-3, 0.057945, -0.013439, 1.259255, 1559300701490
1,-0.007197,-0.028848,0.487583,1559300701499
2,-1.109335,0.465976,-1.718983,1559300701500
4,-0.001053,-0.001341,-0.002837,1559300701500
-3, 0.057945, -0.013439, 1.259255, 1559300701500
1,-0.269894,-0.590372,9.773716,1559300701509
2,-22.375000,10.000000,-34.937500,1559300701510
4,0.001693,-0.014556,-0.042935,1559300701510
-3, 0.057945, -0.014835, 1.252797, 1559300701510
1,-0.013765,-0.042886,0.719737,1559300701520
2,-1.640976,0.704327,-2.549445,1559300701522
4,-0.000984,-0.001671,-0.003839,1559300701522
-3, 0.057945, -0.014835, 1.252797, 1559300701523
1,-0.013765,-0.042886,0.719737,1559300701530
2,-1.640976,0.704327,-2.549445,1559300701531
4,-0.000984,-0.001671,-0.003839,1559300701531
-3, 0.057945, -0.014835, 1.252797, 1559300701532
1,-0.013765,-0.042886,0.719737,1559300701540
2,-1.640976,0.704327,-2.549445,1559300701540
4,-0.000984,-0.001671,-0.003839,1559300701540
-3, 0.057945, -0.014835, 1.252797, 1559300701540
1,-0.252176,-0.592977,9.597474,1559300701550
2,-22.625000,10.062500,-34.750000,1559300701550
4,-0.021904,-0.007313,-0.031608,1559300701550
-3, 0.058294, -0.018500, 1.250703, 1559300701550
1,-0.192676,-0.622272,9.718266,1559300701560
2,-22.562500,10.500000,-34.250000,1559300701560
4,-0.067771,-0.018326,-0.032620,1559300701561
-3, 0.060388, -0.019024, 1.246165, 1559300701561
1,-0.024049,-0.070779,1.161094,1559300701570
2,-2.675499,1.177323,-4.126846,1559300701570
4,-0.003164,-0.002225,-0.005235,1559300701570
-3, 0.060388, -0.019024, 1.246165, 1559300701571
1,-0.332421,-0.662322,9.910702,1559300701580
2,-22.750000,10.625000,-33.812500,1559300701580
4,-0.049375,0.001047,-0.019862,1559300701580
-3, 0.062657, -0.020420, 1.245118, 1559300701581
1,-0.344190,-0.653138,9.867923,1559300701590
2,-22.687500,10.687500,-33.687500,1559300701590
4,-0.041801,0.014678,-0.006562,1559300701590
-3, 0.063530, -0.021468, 1.244594, 1559300701591
1,-0.290761,-0.621784,9.781569,1559300701602
2,-22.687500,10.812500,-33.625000,1559300701603
4,-0.042743,0.024051,0.002112,1559300701603
-3, 0.064752, -0.023911, 1.243023, 1559300701603
1,-0.258564,-0.630135,9.698883,1559300701610
2,-22.437500,10.875000,-33.625000,1559300701610
4,-0.058032,0.013806,0.006056,1559300701610
-3, 0.065101, -0.025307, 1.241802, 1559300701610
1,-0.274711,-0.638428,9.742361,1559300701619
2,-22.687500,10.812500,-33.375000,1559300701620
4,-0.070965,-0.006650,0.011659,1559300701620
-3, 0.065101, -0.025307, 1.241802, 1559300701620
1,-0.197206,-0.646636,9.811783,1559300701630
2,-22.375000,10.687500,-33.500000,1559300701630
4,-0.076131,-0.023021,0.010996,1559300701630
-3, 0.066148, -0.026005, 1.239533, 1559300701630
1,-0.197483,-0.646703,9.885956,1559300701640
2,-22.500000,10.562500,-33.750000,1559300701640
4,-0.073409,-0.024522,0.007365,1559300701640
-3, 0.066148, -0.026005, 1.239533, 1559300701640
1,-0.221081,-0.644979,9.945581,1559300701650
2,-22.312500,10.750000,-33.687500,1559300701650
4,-0.068731,-0.017261,0.007505,1559300701650
-3, 0.066846, -0.025656, 1.238835, 1559300701651
1,-0.185359,-0.610062,9.932125,1559300701660
2,-22.375000,10.750000,-33.937500,1559300701660
4,-0.064664,-0.002880,0.006667,1559300701660
-3, 0.067370, -0.025133, 1.237613, 1559300701661
1,-0.170419,-0.595084,9.913374,1559300701670
2,-22.187500,10.687500,-33.750000,1559300701670
4,-0.064455,0.008098,0.001868,1559300701670
-3, 0.068068, -0.024260, 1.235169, 1559300701670
1,-0.182515,-0.585306,9.937211,1559300701680
2,-22.312500,10.687500,-33.687500,1559300701680
4,-0.068347,0.008744,-0.005358,1559300701680
-3, 0.068068, -0.024260, 1.235169, 1559300701680
1,-0.235877,-0.591895,10.014429,1559300701690
2,-22.187500,10.437500,-33.812500,1559300701690
4,-0.065851,-0.005655,-0.010193,1559300701690
-3, 0.068417, -0.024086, 1.234122, 1559300701690
1,-0.233444,-0.600265,10.141178,1559300701700
2,-22.437500,10.187500,-33.937500,1559300701700
4,-0.052412,-0.022777,-0.009809,1559300701700
-3, 0.068591, -0.023911, 1.233424, 1559300701700
1,-0.223350,-0.585718,10.237329,1559300701710
2,-22.187500,10.250000,-34.250000,1559300701710
4,-0.034208,-0.038659,-0.010978,1559300701710
-3, 0.068941, -0.023562, 1.233599, 1559300701710
1,-0.223264,-0.592986,10.338498,1559300701720
2,-22.375000,10.312500,-34.125000,1559300701720
4,-0.013055,-0.054000,-0.014224,1559300701720
-3, 0.068941, -0.023213, 1.233250, 1559300701720
1,-0.244917,-0.604775,10.345202,1559300701729
2,-22.437500,10.500000,-33.937500,1559300701730
4,0.013230,-0.044366,-0.011816,1559300701730
-3, 0.068591, -0.022166, 1.232551, 1559300701730
1,-0.210259,-0.563902,10.209240,1559300701740
2,-22.625000,10.312500,-33.937500,1559300701740
4,0.035587,-0.011362,-0.013561,1559300701740
-3, 0.068591, -0.022166, 1.232551, 1559300701740
1,-0.177899,-0.557638,9.946404,1559300701750
2,-22.625000,10.562500,-33.875000,1559300701750
4,0.036774,0.034627,-0.019687,1559300701750
-3, 0.068068, -0.021642, 1.232377, 1559300701750
1,-0.099316,-0.267900,4.396375,1559300701760
2,-9.912013,4.613204,-14.992285,1559300701760
4,-0.016236,-0.004761,-0.004969,1559300701761
-3, 0.067195, -0.021293, 1.231853, 1559300701761
1,-0.343511,-0.415317,9.640253,1559300701770
2,-22.625000,10.750000,-34.125000,1559300701770
4,-0.043895,0.179263,-0.036181,1559300701770
-3, 0.065450, -0.022689, 1.230457, 1559300701770
1,-0.290896,-0.467894,9.711351,1559300701779
2,-22.812500,10.687500,-34.000000,1559300701780
4,-0.108490,0.239930,-0.050527,1559300701780
-3, 0.065450, -0.022689, 1.230457, 1559300701780
1,-0.240282,-0.463805,9.889921,1559300701790
2,-22.687500,11.000000,-33.937500,1559300701790
4,-0.141860,0.291871,-0.076236,1559300701790
-3, 0.065624, -0.026878, 1.229235, 1559300701790
1,-0.390839,-0.502313,10.044911,1559300701800
2,-22.625000,11.250000,-34.062500,1559300701800
4,-0.152594,0.300860,-0.104458,1559300701800
-3, 0.065624, -0.026878, 1.229235, 1559300701800
1,-0.512254,-0.528554,10.251675,1559300701810
2,-22.687500,11.187500,-34.187500,1559300701811
4,-0.143972,0.290772,-0.124669,1559300701811
-3, 0.066323, -0.029845, 1.228712, 1559300701811
1,-0.615214,-0.527136,10.297298,1559300701820
2,-22.437500,11.062500,-34.437500,1559300701821
4,-0.121440,0.301506,-0.137131,1559300701821
-3, 0.067370, -0.032812, 1.228886, 1559300701821
1,-0.736648,-0.511756,10.183545,1559300701830
2,-22.312500,11.187500,-34.500000,1559300701830
4,-0.110933,0.318016,-0.151303,1559300701831
-3, 0.068242, -0.035954, 1.229410, 1559300701831
1,-1.090980,-0.548694,9.983160,1559300701840
2,-22.062500,10.937500,-34.812500,1559300701840
4,-0.119189,0.302710,-0.135280,1559300701840
-3, 0.068941, -0.039270, 1.230108, 1559300701841
1,-1.431062,-0.500407,9.935889,1559300701850
2,-21.875000,10.937500,-34.562500,1559300701850
4,-0.133483,0.217259,-0.088122,1559300701850
-3, 0.069988, -0.044157, 1.232028, 1559300701850
1,-1.664641,-0.453079,10.049231,1559300701860
2,-21.875000,11.000000,-34.562500,1559300701860
4,-0.109170,0.080913,-0.000471,1559300701861
-3, 0.071035, -0.050440, 1.233075, 1559300701861
1,-1.573441,-0.409399,10.077855,1559300701870
2,-21.625000,11.125000,-34.687500,1559300701870
