sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1559307566536
2,0.000000,0.000000,0.000000,1559307566537
4,0.000000,0.000000,0.000000,1559307566538
-3, 0.000000, 0.000000, 0.000000, 1559307566540
1,0.000000,0.000000,0.000000,1559307566542
2,0.000000,0.000000,0.000000,1559307566544
4,0.000000,0.000000,0.000000,1559307566545
-3, 0.000000, 0.000000, 0.000000, 1559307566546
1,0.000000,0.000000,0.000000,1559307566552
2,0.000000,0.000000,0.000000,1559307566554
4,0.000000,0.000000,0.000000,1559307566555
-3, 0.000000, 0.000000, 0.000000, 1559307566556
1,0.000000,0.000000,0.000000,1559307566562
2,0.000000,0.000000,0.000000,1559307566564
4,0.000000,0.000000,0.000000,1559307566566
-3, 0.000000, 0.000000, 0.000000, 1559307566567
1,0.090501,-0.051064,9.564222,1559307566572
2,0.000000,0.000000,0.000000,1559307566574
4,0.000000,0.000000,0.000000,1559307566578
-3, -0.420624, 0.071908, 4.394739, 1559307566579
1,0.001925,-0.063063,9.654877,1559307566582
2,35.250000,11.375000,-11.625000,1559307566585
4,0.000000,0.000000,0.000000,1559307566586
-3, 0.002967, 0.006109, 5.021486, 1559307566592
1,-0.016405,-0.058792,9.751383,1559307566594
2,36.437500,11.437500,-12.500000,1559307566595
4,0.000000,0.000000,0.000000,1559307566597
-3, 0.003316, 0.004887, 5.017123, 1559307566598
1,0.035817,-0.047664,9.844411,1559307566602
2,36.125000,12.062500,-13.125000,1559307566604
4,0.000000,0.000000,0.000000,1559307566607
-3, 0.003665, 0.004712, 5.020788, 1559307566608
1,0.076538,-0.055842,9.876427,1559307566612
2,35.937500,12.312500,-12.812500,1559307566614
4,0.000000,0.000000,0.000000,1559307566615
-3, 0.003840, 0.005061, 5.024628, 1559307566616
1,0.015993,-0.085147,9.798175,1559307566623
2,35.875000,12.375000,-12.812500,1559307566625
4,0.000000,0.000000,0.000000,1559307566626
-3, 0.004887, 0.004538, 5.027421, 1559307566627
1,0.004774,-0.008534,1.374403,1559307566633
2,4.272067,1.418174,-1.496818,1559307566634
4,0.000000,0.000000,0.000000,1559307566635
-3, 0.004887, 0.004538, 5.027421, 1559307566636
1,0.004774,-0.008534,1.374403,1559307566643
