sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1558431350504
2,0.000000,0.000000,0.000000,1558431350504
4,0.000000,0.000000,0.000000,1558431350504
-3, 0.000000, 0, 0, 0
1,0.112278,-0.059156,9.836433,1558431350512
2,0.000000,0.000000,0.000000,1558431350512
4,-0.043895,0.034278,0.029967,1558431350512
-3, 0.000000, 0, 0, 0
1,0.131652,-0.046064,9.856114,1558431350522
2,-2.687500,17.437500,-34.000000,1558431350522
4,-0.046042,0.027890,0.032254,1558431350522
-3, 0.128534, 0, 0, 0
1,0.006028,-0.002594,0.486165,1558431350532
2,-0.067187,0.435937,-0.849999,1558431350532
4,-0.002221,0.001533,0.001537,1558431350532
-3, 0.000000, 0, 0, 0
1,0.106312,-0.091382,9.895533,1558431350542
2,-3.375000,17.750000,-34.750000,1558431350542
4,-0.039985,0.005777,0.031189,1558431350542
-3, 0.170549, 0, 0, 0
1,0.008535,-0.004813,0.721399,1558431350552
2,-0.149883,0.868788,-1.697498,1558431350552
4,-0.003165,0.001639,0.002278,1558431350552
-3, 0.000000, 0, 0, 0
1,0.154838,-0.069489,9.879023,1558431350562
2,-3.437500,17.687500,-34.312500,1558431350562
4,-0.034296,0.002426,0.032620,1558431350562
-3, 0.164690, 0, 0, 0
1,0.145816,-0.078673,9.848768,1558431350572
2,-3.375000,17.562500,-34.125000,1558431350572
4,-0.040038,0.028728,0.027925,1558431350572
-3, 0.164470, 0, 0, 0
1,0.147071,-0.074124,9.825910,1558431350582
2,-3.375000,17.250000,-34.000000,1558431350582
4,-0.044611,0.042795,0.028205,1558431350582
-3, 0.167075, 0, 0, 0
1,0.145625,-0.093125,9.814561,1558431350592
2,-3.500000,17.500000,-34.187500,1558431350592
4,-0.044715,0.050056,0.028013,1558431350594
-3, 0.172505, 0, 0, 0
1,0.113207,-0.078281,9.851767,1558431350602
2,-3.562500,17.687500,-34.187500,1558431350603
4,-0.044384,0.051522,0.028641,1558431350603
