sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1559052271557
2,0.000000,0.000000,0.000000,1559052271557
4,0.000000,0.000000,0.000000,1559052271557
-3, -0.000000, -0.000000, 0.000000, 1559052271557
1,0.000000,0.000000,0.000000,1559052271566
2,0.000000,0.000000,0.000000,1559052271566
4,0.010489,-0.023632,-0.022550,1559052271566
-3, -0.000000, -0.000000, 0.000000, 1559052271566
1,-0.125073,0.195922,9.715785,1559052271576
2,0.000000,0.000000,0.000000,1559052271576
4,0.007138,-0.029060,-0.023108,1559052271576
-3, -0.000000, -0.000000, 0.000000, 1559052271576
1,-0.151428,0.227593,9.569156,1559052271586
2,35.687500,7.312500,-53.687500,1559052271586
4,-0.008029,-0.022707,-0.021206,1559052271587
-3, -0.023777, 0.015823, -1.328746, 1559052271587
1,-0.172660,0.199629,9.619510,1559052271596
2,35.687500,7.250000,-53.875000,1559052271596
4,-0.062291,0.027297,-0.006126,1559052271596
-3, -0.020746, 0.017947, -1.333956, 1559052271596
1,-0.179182,0.172957,9.697245,1559052271606
2,35.562500,7.625000,-53.687500,1559052271606
4,-0.084893,0.048712,0.001536,1559052271606
-3, -0.017831, 0.018476, -1.327141, 1559052271606
1,-0.156495,0.127276,9.784662,1559052271616
2,35.562500,7.812500,-53.562500,1559052271616
4,-0.092904,0.051470,0.005044,1559052271616
-3, -0.013005, 0.015993, -1.330152, 1559052271616
1,-0.113638,0.124182,9.871303,1559052271626
2,35.500000,7.562500,-53.562500,1559052271626
4,-0.088593,0.034889,0.001815,1559052271626
-3, -0.012579, 0.011511, -1.338798, 1559052271626
1,-0.097147,0.118245,9.931455,1559052271636
2,35.437500,7.812500,-53.625000,1559052271636
4,-0.073810,0.010681,-0.003979,1559052271636
-3, -0.011905, 0.009781, -1.333201, 1559052271636
1,-0.120467,0.101265,9.927108,1559052271646
2,35.625000,7.750000,-53.687500,1559052271646
4,-0.057910,-0.006597,-0.011030,1559052271646
-3, -0.010200, 0.012135, -1.337726, 1559052271646
1,-0.132246,0.090137,9.886530,1559052271656
2,35.500000,7.750000,-53.812500,1559052271656
4,-0.047909,-0.002286,-0.012741,1559052271656
-3, -0.009116, 0.013376, -1.338026, 1559052271656
1,-0.143959,0.082552,9.853865,1559052271666
2,35.500000,7.750000,-53.937500,1559052271666
4,-0.045291,0.012025,-0.013910,1559052271666
-3, -0.008377, 0.014608, -1.338637, 1559052271666
1,-0.177889,0.097051,9.819694,1559052271676
2,35.437500,7.625000,-54.125000,1559052271676
4,-0.047456,0.029583,-0.012584,1559052271676
-3, -0.009881, 0.018114, -1.338070, 1559052271676
1,-0.124623,0.090750,9.755222,1559052271686
2,35.500000,7.625000,-53.875000,1559052271686
4,-0.047578,0.033824,-0.011100,1559052271686
-3, -0.009302, 0.012774, -1.341349, 1559052271686
1,-0.088901,0.120179,9.733350,1559052271696
2,35.500000,7.500000,-54.000000,1559052271696
4,-0.051208,0.025883,-0.013352,1559052271696
-3, -0.012346, 0.009133, -1.341506, 1559052271696
1,-0.023224,0.155211,9.719042,1559052271706
2,35.625000,7.312500,-54.125000,1559052271706
4,-0.050056,0.021049,-0.017942,1559052271706
-3, -0.015968, 0.002390, -1.344375, 1559052271706
1,-0.007355,0.183061,9.643826,1559052271716
2,35.812500,7.687500,-54.125000,1559052271716
4,-0.052342,0.016092,-0.024923,1559052271716
-3, -0.018980, 0.000763, -1.331850, 1559052271716
1,-0.005995,0.208267,9.559741,1559052271726
2,35.812500,7.500000,-54.062500,1559052271726
4,-0.061767,0.009425,-0.030823,1559052271726
-3, -0.021782, 0.000627, -1.332891, 1559052271726
1,-0.036095,0.246632,9.510612,1559052271736
2,35.375000,7.562500,-54.062500,1559052271736
4,-0.075503,0.001763,-0.033999,1559052271736
-3, -0.025926, 0.003795, -1.321206, 1559052271736
1,-0.028175,0.260709,9.516751,1559052271746
2,35.375000,7.437500,-54.000000,1559052271746
4,-0.086533,0.004119,-0.033353,1559052271746
-3, -0.027388, 0.002961, -1.322811, 1559052271746
1,-0.053506,0.258085,9.516176,1559052271756
