sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1559052323889
2,0.000000,0.000000,0.000000,1559052323889
4,0.000000,0.000000,0.000000,1559052323889
-3, -0.000000, -0.000000, 0.000000, 1559052323889
1,0.000000,0.000000,0.000000,1559052323896
2,-0.625000,-26.687500,-50.187500,1559052323897
4,-0.129172,0.037559,0.163468,1559052323897
-3, -0.000000, -0.000000, 0.000000, 1559052323897
1,-0.656126,0.513269,9.540539,1559052323906
2,-0.812500,-26.250000,-50.875000,1559052323906
4,-0.137759,0.052273,0.169786,1559052323907
-3, -0.053621, 0.068664, 2.960532, 1559052323908
1,-0.016403,0.012832,0.238513,1559052323917
2,-0.035547,-1.306757,-2.495193,1559052323917
4,-0.006593,0.002222,0.008229,1559052323917
-3, -0.000000, -0.000000, 0.000000, 1559052323917
1,-0.685996,0.449583,9.773935,1559052323927
2,-0.125000,-26.562500,-51.000000,1559052323927
4,-0.180799,0.073967,0.148789,1559052323927
-3, -0.045853, 0.070071, 2.990079, 1559052323927
1,-0.033143,0.023750,0.476899,1559052323937
2,-0.037783,-1.938150,-3.707812,1559052323937
4,-0.010948,0.004016,0.011743,1559052323937
-3, -0.000000, -0.000000, 0.000000, 1559052323937
1,-0.033143,0.023750,0.476899,1559052323947
2,-0.037783,-1.938150,-3.707812,1559052323947
4,-0.010948,0.004016,0.011743,1559052323947
-3, -0.000000, -0.000000, 0.000000, 1559052323947
1,-0.772331,0.733057,10.223480,1559052323957
2,-0.187500,-26.937500,-51.000000,1559052323957
4,-0.070075,0.041434,0.129364,1559052323957
-3, -0.071378, 0.075402, 2.969964, 1559052323957
1,-0.051623,0.041483,0.720563,1559052323967
2,-0.041526,-2.563133,-4.890115,1559052323967
4,-0.012426,0.004951,0.014684,1559052323967
-3, -0.000000, -0.000000, 0.000000, 1559052323968
1,-0.685929,0.837386,9.960616,1559052323977
2,-0.375000,-26.937500,-51.125000,1559052323977
4,0.011048,0.005428,0.113813,1559052323977
-3, -0.083675, 0.068756, 2.971162, 1559052323977
1,-0.661489,0.793247,9.731061,1559052323987
2,-0.375000,-26.875000,-51.187500,1559052323987
4,0.013282,-0.012514,0.107739,1559052323987
-3, -0.081151, 0.067873, 2.973400, 1559052323987
1,-0.665933,0.714229,9.633827,1559052323999
2,-0.312500,-27.000000,-51.062500,1559052323999
4,-0.005480,-0.018797,0.103690,1559052323999
-3, -0.073827, 0.069015, 2.977652, 1559052323999
1,-0.608415,0.674676,9.622287,1559052324006
2,-0.500000,-27.000000,-50.937500,1559052324007
4,-0.039462,-0.015568,0.101770,1559052324007
-3, -0.069862, 0.063146, 2.984133, 1559052324007
1,-0.616497,0.664391,9.699706,1559052324017
2,-0.687500,-27.000000,-51.062500,1559052324017
4,-0.068312,-0.000017,0.093829,1559052324017
-3, -0.068252, 0.063473, 2.975853, 1559052324017
1,-0.655485,0.607763,9.832058,1559052324027
2,-0.750000,-26.750000,-51.187500,1559052324027
4,-0.085259,0.021293,0.087284,1559052324027
-3, -0.061600, 0.066570, 2.967084, 1559052324027
1,-0.642949,0.620481,9.962254,1559052324037
2,-0.687500,-26.562500,-51.437500,1559052324037
4,-0.092747,0.039392,0.078208,1559052324037
-3, -0.062074, 0.064449, 2.971836, 1559052324038
1,-0.656136,0.664707,10.109871,1559052324049
2,-0.875000,-26.562500,-51.562500,1559052324049
4,-0.095330,0.058259,0.069918,1559052324050
-3, -0.065516, 0.064810, 2.961522, 1559052324050
1,-0.685766,0.719946,10.201416,1559052324057
2,-0.625000,-26.375000,-51.562500,1559052324057
4,-0.087773,0.058329,0.069796,1559052324057
-3, -0.070298, 0.067122, 2.963666, 1559052324057
1,-0.741044,0.781238,10.163587,1559052324070
2,-0.500000,-26.625000,-51.437500,1559052324070
4,-0.071541,0.037402,0.075817,1559052324070
-3, -0.076513, 0.072783, 2.956403, 1559052324071
1,-0.650936,0.855247,10.039682,1559052324077
2,-0.375000,-26.750000,-51.562500,1559052324077
4,-0.053267,0.006754,0.079063,1559052324077
-3, -0.084804, 0.064746, 2.976703, 1559052324077
1,-0.561594,0.880702,9.895034,1559052324086
2,-0.562500,-26.687500,-51.500000,1559052324087
4,-0.039863,-0.023178,0.075712,1559052324087
-3, -0.088629, 0.056694, 2.984962, 1559052324087
1,-0.497419,0.925838,9.729481,1559052324096
2,-0.500000,-26.562500,-51.562500,1559052324097
4,-0.034732,-0.047106,0.069883,1559052324097
-3, -0.094749, 0.051080, 2.997423, 1559052324097
1,-0.456143,0.979324,9.656687,1559052324106
2,-0.625000,-26.375000,-51.687500,1559052324107
