sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1559296054788
2,0.000000,0.000000,0.000000,1559296054788
4,0.000000,0.000000,0.000000,1559296054788
-3, 0.000000, 0.000000, 0.000000, 1559296054788
1,0.000000,0.000000,0.000000,1559296054795
2,0.000000,0.000000,0.000000,1559296054795
4,0.000000,0.000000,0.000000,1559296054795
-3, 0.000000, 0.000000, 0.000000, 1559296054795
1,-0.233894,-0.369100,9.932768,1559296054805
2,0.937500,-13.937500,-45.062500,1559296054805
4,-0.016040,-0.006946,0.008622,1559296054805
-3, 0.000000, 0.000000, 0.000000, 1559296054805
1,-0.211140,-0.383101,9.940544,1559296054815
2,0.500000,-13.937500,-45.000000,1559296054815
4,-0.015062,0.001065,0.007103,1559296054815
-3, 0.036652, -0.022515, 3.121696, 1559296054815
1,-0.010980,-0.018574,0.490624,1559296054825
2,0.035352,-0.688163,-2.223396,1559296054825
4,-0.000768,-0.000143,0.000388,1559296054825
-3, 0.036652, -0.022515, 3.121696, 1559296054825
1,-0.204465,-0.358278,10.051759,1559296054835
2,1.250000,-14.250000,-45.437500,1559296054835
4,-0.005445,0.005969,0.003037,1559296054836
-3, 0.037001, -0.022340, 3.131819, 1559296054836
1,-0.015817,-0.027067,0.729653,1559296054845
2,0.065718,-1.027209,-3.303748,1559296054845
4,-0.000884,0.000010,0.000454,1559296054845
-3, 0.037001, -0.022340, 3.131819, 1559296054845
1,-0.158171,-0.332583,10.046080,1559296054855
2,1.375000,-13.937500,-45.062500,1559296054855
4,0.023178,-0.015900,0.003491,1559296054855
-3, 0.036826, -0.021991, 3.142640, 1559296054855
1,-0.019376,-0.034705,0.962563,1559296054865
2,0.098450,-1.349966,-4.347715,1559296054865
4,-0.000283,-0.000388,0.000530,1559296054865
-3, 0.036826, -0.021991, 3.142640, 1559296054865
1,-0.150624,-0.310777,9.907696,1559296054875
2,1.437500,-14.062500,-45.250000,1559296054875
4,0.036285,-0.020979,0.004974,1559296054875
-3, 0.035779, -0.020595, 3.151716, 1559296054875
1,-0.153890,-0.302598,9.833485,1559296054885
2,1.375000,-13.937500,-45.250000,1559296054885
4,0.034121,-0.019059,0.005847,1559296054886
-3, 0.035081, -0.019897, 3.154683, 1559296054886
1,-0.207798,-0.328025,9.766514,1559296054895
2,1.250000,-14.000000,-45.250000,1559296054896
4,0.028257,-0.015184,0.007889,1559296054896
-3, 0.034034, -0.019897, 3.155031, 1559296054896
1,-0.202789,-0.332670,9.724721,1559296054905
2,1.500000,-13.937500,-45.250000,1559296054906
4,0.017453,-0.006126,0.010507,1559296054906
-3, 0.033510, -0.019722, 3.157126, 1559296054907
1,-0.174346,-0.294449,9.767817,1559296054915
2,1.375000,-13.625000,-45.375000,1559296054916
4,0.006458,0.000419,0.010978,1559296054917
-3, 0.032987, -0.019548, 3.158697, 1559296054917
1,-0.209588,-0.316753,9.868957,1559296054925
2,1.187500,-13.562500,-45.000000,1559296054926
4,0.003281,0.003665,0.009338,1559296054926
-3, 0.032289, -0.019373, 3.158871, 1559296054926
1,-0.186278,-0.339986,9.920327,1559296054935
2,1.125000,-13.500000,-45.250000,1559296054936
4,0.002967,0.007138,0.008831,1559296054937
-3, 0.032114, -0.019024, 3.159569, 1559296054938
1,-0.201372,-0.344401,9.939040,1559296054946
2,1.125000,-13.437500,-45.312500,1559296054947
4,0.006545,0.011240,0.005969,1559296054947
-3, 0.032114, -0.019199, 3.159395, 1559296054947
1,-0.227918,-0.305155,9.922520,1559296054955
2,1.187500,-13.437500,-45.000000,1559296054956
4,0.010472,0.010263,0.005777,1559296054956
-3, 0.031940, -0.019373, 3.159046, 1559296054957
1,-0.179326,-0.313104,9.871792,1559296054965
2,1.312500,-13.187500,-45.125000,1559296054965
4,0.010036,0.006946,0.004363,1559296054966
-3, 0.031765, -0.019373, 3.159744, 1559296054966
1,-0.146506,-0.309015,9.804572,1559296054975
2,1.625000,-13.375000,-45.250000,1559296054975
4,0.002286,0.003526,-0.000611,1559296054976
-3, 0.031590, -0.019199, 3.162013, 1559296054976
1,-0.112240,-0.309723,9.789594,1559296054985
2,2.000000,-13.312500,-45.562500,1559296054985
4,-0.008447,0.001449,-0.007959,1559296054986
-3, 0.031416, -0.018850, 3.166202, 1559296054986
1,-0.115563,-0.295674,9.819502,1559296054995
2,1.875000,-13.562500,-45.562500,1559296054996
4,-0.018466,0.006109,-0.017244,1559296054996
-3, 0.031416, -0.018326, 3.169692, 1559296054997
1,-0.140597,-0.306228,9.813315,1559296055005
2,2.062500,-13.687500,-45.312500,1559296055006
4,-0.025325,0.019076,-0.021886,1559296055006
-3, 0.031590, -0.017977, 3.173532, 1559296055006
1,-0.191364,-0.323524,9.826186,1559296055016
2,2.062500,-13.625000,-45.625000,1559296055016
4,-0.036163,0.034819,-0.025813,1559296055016
-3, 0.031590, -0.017802, 3.176674, 1559296055016
1,-0.162585,-0.272221,9.930364,1559296055025
2,2.062500,-13.937500,-45.312500,1559296055026
4,-0.045187,0.055449,-0.030194,1559296055026
-3, 0.031940, -0.017977, 3.179466, 1559296055026
1,-0.127649,-0.242130,10.030278,1559296055035
2,2.125000,-14.125000,-45.437500,1559296055036
4,-0.037158,0.059865,-0.035657,1559296055036
-3, 0.032114, -0.018151, 3.182433, 1559296055036
1,-0.102376,-0.271397,10.049968,1559296055045
2,2.062500,-14.250000,-45.562500,1559296055046
4,-0.018972,0.056566,-0.039689,1559296055046
-3, 0.032289, -0.018675, 3.185051, 1559296055046
1,-0.156552,-0.324184,10.017254,1559296055055
2,1.937500,-14.187500,-45.625000,1559296055055
4,-0.007557,0.064455,-0.038275,1559296055056
-3, 0.032289, -0.018850, 3.187146, 1559296055056
1,-0.141220,-0.321608,10.036273,1559296055065
2,1.812500,-14.125000,-45.562500,1559296055066
4,-0.002915,0.071349,-0.034069,1559296055066
-3, 0.032289, -0.019199, 3.188891, 1559296055066
1,-0.203957,-0.293797,10.046243,1559296055075
2,1.500000,-14.062500,-45.375000,1559296055076
4,0.011572,0.062779,-0.029636,1559296055076
-3, 0.032114, -0.019722, 3.189415, 1559296055076
1,-0.269558,-0.320402,10.012551,1559296055085
2,1.500000,-13.875000,-45.437500,1559296055086
4,0.036233,0.048468,-0.024120,1559296055086
-3, 0.031940, -0.020246, 3.189764, 1559296055086
1,-0.265460,-0.289239,9.957830,1559296055095
2,1.500000,-13.812500,-45.562500,1559296055096
4,0.057962,0.043005,-0.009495,1559296055096
-3, 0.031416, -0.020595, 3.189764, 1559296055096
1,-0.213314,-0.263046,9.834777,1559296055105
2,1.562500,-14.000000,-45.312500,1559296055105
4,0.070494,0.043790,0.000663,1559296055106
-3, 0.030718, -0.021118, 3.189415, 1559296055106
1,-0.222431,-0.236901,9.680055,1559296055116
2,1.812500,-13.937500,-45.437500,1559296055116
4,0.072955,0.024312,0.002199,1559296055117
-3, 0.029845, -0.021468, 3.189764, 1559296055118
1,-0.235044,-0.194074,9.531863,1559296055125
2,1.875000,-13.750000,-45.375000,1559296055126
4,0.058346,0.001222,-0.007854,1559296055126
-3, 0.028798, -0.021642, 3.189938, 1559296055127
1,-0.294257,-0.196066,9.482380,1559296055135
2,1.937500,-13.562500,-45.312500,1559296055136
4,0.016720,-0.006772,-0.020700,1559296055137
-3, 0.027925, -0.021817, 3.190113, 1559296055137
1,-0.433331,-0.165468,9.688951,1559296055145
2,1.937500,-13.687500,-45.250000,1559296055146
4,-0.023754,-0.019618,-0.024749,1559296055146
-3, 0.027402, -0.022166, 3.189764, 1559296055146
1,-0.509477,-0.114357,10.058942,1559296055155
2,1.937500,-13.875000,-45.000000,1559296055156
4,-0.032341,-0.018483,-0.016109,1559296055156
-3, 0.027227, -0.022340, 3.189066, 1559296055157
1,-0.614726,-0.101533,10.231295,1559296055165
2,2.125000,-13.937500,-45.000000,1559296055166
4,-0.010158,-0.024400,0.000244,1559296055166
-3, 0.027227, -0.022689, 3.188193, 1559296055166
1,-0.674542,-0.130321,10.231822,1559296055175
2,2.125000,-14.125000,-45.000000,1559296055176
4,0.033720,-0.047281,0.023440,1559296055176
-3, 0.026878, -0.023213, 3.186622, 1559296055176
1,-0.579617,-0.189247,10.120674,1559296055185
2,1.875000,-14.187500,-45.000000,1559296055186
4,0.070878,-0.049602,0.039514,1559296055186
-3, 0.026180, -0.023562, 3.184353, 1559296055186
1,-0.221138,-0.108582,9.808603,1559296055195
2,1.812500,-14.312500,-45.062500,1559296055196
4,0.063425,-0.042656,0.029444,1559296055196
-3, 0.025133, -0.023562, 3.182433, 1559296055197
1,-0.124345,0.209378,9.759666,1559296055205
2,1.625000,-14.312500,-45.062500,1559296055206
4,0.050231,-0.044750,-0.016511,1559296055207
-3, 0.023911, -0.023562, 3.180863, 1559296055207
1,-0.349831,0.005526,9.657080,1559296055216
2,1.437500,-14.312500,-45.000000,1559296055216
4,0.051225,-0.031503,-0.041609,1559296055217
-3, 0.022689, -0.023562, 3.179466, 1559296055217
1,-0.425220,-0.034189,9.523560,1559296055226
2,1.500000,-14.437500,-45.000000,1559296055226
