sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1554087164939
2,0.000000,0.000000,0.000000,1554087164941
4,0.000000,0.000000,0.000000,1554087164942
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1554087164948
2,0.000000,0.000000,0.000000,1554087164950
4,0.000000,0.000000,0.000000,1554087164951
-3, 0.000000, 0, 0, 0
1,0.081623,-0.466563,9.979636,1554087164958
2,3.125000,-14.937500,-45.312500,1554087164960
4,-0.023091,0.007557,0.007557,1554087164961
-3, -2.939219, 0, 0, 0
1,0.083222,-0.469091,10.068537,1554087164968
2,2.937500,-14.812500,-45.187500,1554087164970
4,-0.004887,0.011362,0.006702,1554087164971
-3, -2.948112, 0, 0, 0
1,0.080800,-0.447266,10.005177,1554087164979
2,3.500000,-14.750000,-45.250000,1554087164980
4,0.028850,0.011519,0.006144,1554087164980
-3, -2.914860, 0, 0, 0
1,0.005988,-0.033704,0.732722,1554087164988
2,0.233369,-1.084803,-3.309572,1554087164989
4,0.000053,0.000745,0.000497,1554087164989
-3, 0.000000, 0, 0, 0
1,0.059003,-0.418181,9.826043,1554087164998
2,3.625000,-14.937500,-44.937500,1554087165000
4,0.014120,0.000105,0.010838,1554087165001
-3, -2.914227, 0, 0, 0
1,0.007314,-0.043316,0.960054,1554087165008
2,0.318160,-1.431120,-4.350269,1554087165009
4,0.000405,0.000729,0.000755,1554087165009
-3, 0.000000, 0, 0, 0
1,0.096678,-0.422174,9.874856,1554087165019
2,3.687500,-15.125000,-45.125000,1554087165020
4,0.001187,-0.005061,0.007732,1554087165020
-3, -2.903816, 0, 0, 0
1,0.009548,-0.052787,1.182924,1554087165028
2,0.402393,-1.773467,-5.369637,1554087165029
4,-0.009093,0.000541,0.003595,1554087165029
-3, -2.923470, 0, 0, 0
1,0.009548,-0.052787,1.182924,1554087165039
2,0.402393,-1.773467,-5.369637,1554087165039
4,0.000187,0.000583,0.000996,1554087165040
-3, -2.923470, 0, 0, 0
1,0.030742,-0.445283,9.901834,1554087165048
2,3.750000,-15.187500,-44.687500,1554087165049
4,-0.008570,0.010071,0.006650,1554087165049
-3, -2.918982, 0, 0, 0
1,0.010078,-0.062600,1.400897,1554087165058
2,0.486083,-2.108817,-6.352582,1554087165059
4,-0.000032,0.000820,0.001138,1554087165059
-3, -2.922673, 0, 0, 0
1,0.010078,-0.062600,1.400897,1554087165068
2,0.486083,-2.108817,-6.352582,1554087165069
4,-0.000032,0.000820,0.001138,1554087165070
-3, -2.922673, 0, 0, 0
1,0.061655,-0.454103,9.891798,1554087165079
2,3.562500,-15.250000,-44.625000,1554087165079
4,-0.003142,0.012654,0.007592,1554087165080
-3, -2.922884, 0, 0, 0
1,0.080914,-0.458518,9.906699,1554087165088
2,3.062500,-15.375000,-44.812500,1554087165089
4,0.016441,0.009687,0.008657,1554087165090
-3, -2.947367, 0, 0, 0
1,0.013106,-0.082040,1.820507,1554087165099
2,0.625481,-2.760787,-8.246969,1554087165100
4,0.000304,0.001330,0.001483,1554087165101
-3, -2.926126, 0, 0, 0
1,0.095672,-0.461535,9.914667,1554087165108
2,3.000000,-15.250000,-44.562500,1554087165110
4,0.024138,0.002670,0.000506,1554087165110
-3, -2.945919, 0, 0, 0
1,0.091545,-0.441462,9.903089,1554087165118
2,3.062500,-15.562500,-44.875000,1554087165119
4,0.020874,-0.000838,0.000750,1554087165119
-3, -2.945932, 0, 0, 0
1,0.082294,-0.425296,9.880056,1554087165128
2,3.062500,-15.625000,-45.062500,1554087165128
4,0.012217,-0.005515,0.002094,1554087165129
-3, -2.948131, 0, 0, 0
1,0.103181,-0.415116,9.877815,1554087165138
2,3.125000,-15.500000,-45.062500,1554087165139
4,0.001850,-0.000122,0.001693,1554087165139
-3, -2.937558, 0, 0, 0
1,0.092531,-0.435726,9.904956,1554087165148
2,3.000000,-15.375000,-44.937500,1554087165149
4,-0.001518,0.004259,0.000419,1554087165150
-3, -2.946810, 0, 0, 0
1,0.061847,-0.432383,9.894996,1554087165159
2,3.062500,-15.250000,-44.750000,1554087165160
4,0.000105,0.002740,0.002950,1554087165161
-3, -2.949545, 0, 0, 0
1,0.062920,-0.400014,9.928620,1554087165168
2,3.312500,-14.937500,-44.562500,1554087165169
4,0.004346,0.003508,0.006981,1554087165170
-3, -2.929795, 0, 0, 0
1,0.054885,-0.405779,9.954344,1554087165179
2,3.312500,-15.062500,-44.437500,1554087165179
4,0.018570,0.009756,0.013038,1554087165180
-3, -2.933633, 0, 0, 0
1,0.039389,-0.431483,9.881838,1554087165188
2,3.500000,-15.187500,-44.687500,1554087165189
4,0.031660,0.015917,0.017366,1554087165190
-3, -2.929989, 0, 0, 0
1,0.050680,-0.433714,9.827173,1554087165199
2,3.312500,-15.125000,-44.375000,1554087165200
4,0.031922,0.015900,0.018431,1554087165200
-3, -2.936990, 0, 0, 0
1,0.053898,-0.416486,9.802628,1554087165209
2,3.375000,-15.187500,-44.062500,1554087165209
4,0.018029,0.018815,0.016197,1554087165211
