sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1554105610253
2,0.000000,0.000000,0.000000,1554105610253
4,0.000000,0.000000,0.000000,1554105610253
-3, 0.000000, 0, 0, 0
1,0.246153,0.547037,9.794190,1554105610261
2,-25.500000,-3.125000,-42.875000,1554105610261
4,0.007295,-0.016912,0.003840,1554105610261
-3, 1.599253, 0, 0, 0
1,0.222757,0.536330,9.800109,1554105610271
2,-25.562500,-2.937500,-42.875000,1554105610273
4,0.003770,-0.021974,0.004887,1554105610273
-3, 1.593560, 0, 0, 0
1,0.246890,0.540458,9.780859,1554105610281
2,-25.375000,-2.937500,-42.875000,1554105610281
4,-0.002740,-0.023248,0.003526,1554105610281
-3, 1.592769, 0, 0, 0
1,0.017452,0.039585,0.716164,1554105610291
2,-1.863483,-0.219306,-3.135901,1554105610291
4,0.000197,-0.001519,0.000299,1554105610291
-3, 0.000000, 0, 0, 0
1,0.193519,0.501470,9.828916,1554105610301
2,-25.687500,-3.375000,-43.375000,1554105610301
4,-0.029287,-0.015708,0.003543,1554105610301
-3, 1.616502, 0, 0, 0
1,0.021854,0.051132,0.943982,1554105610311
2,-2.459083,-0.298199,-4.141878,1554105610311
4,-0.000540,-0.001873,0.000380,1554105610311
-3, 0.000000, 0, 0, 0
1,0.181480,0.519005,9.900619,1554105610321
2,-25.625000,-3.125000,-43.437500,1554105610321
4,-0.037176,-0.005061,0.004904,1554105610321
-3, 1.603935, 0, 0, 0
1,0.165784,0.489586,9.910798,1554105610331
2,-25.562500,-3.312500,-43.437500,1554105610331
4,-0.034610,-0.004782,0.003560,1554105610332
-3, 1.616865, 0, 0, 0
1,0.202655,0.496577,9.939548,1554105610341
2,-25.625000,-3.312500,-43.312500,1554105610341
4,-0.029391,-0.007994,0.007138,1554105610341
-3, 1.616124, 0, 0, 0
1,0.212040,0.511909,9.985918,1554105610351
2,-25.687500,-3.375000,-43.375000,1554105610351
4,-0.021258,-0.016389,0.006772,1554105610351
-3, 1.616121, 0, 0, 0
1,0.236825,0.504228,10.030192,1554105610361
2,-25.562500,-3.375000,-43.312500,1554105610361
4,-0.009233,-0.025499,0.003944,1554105610361
-3, 1.618331, 0, 0, 0
1,0.262902,0.527740,10.031590,1554105610372
2,-25.812500,-3.437500,-43.375000,1554105610372
4,0.003840,-0.028257,0.001484,1554105610372
-3, 1.616173, 0, 0, 0
1,0.275439,0.558002,9.975824,1554105610381
2,-25.562500,-3.312500,-43.250000,1554105610381
4,0.013823,-0.026861,0.001169,1554105610382
-3, 1.605855, 0, 0, 0
1,0.260508,0.560176,9.902762,1554105610391
2,-25.562500,-3.437500,-43.312500,1554105610391
4,0.016685,-0.022567,0.003735,1554105610392
-3, 1.609671, 0, 0, 0
1,0.250079,0.558740,9.866649,1554105610401
2,-25.500000,-3.500000,-43.437500,1554105610402
4,-0.002459,-0.004766,0.001048,1554105610402
-3, 1.611918, 0, 0, 0
1,0.241374,0.546644,9.853539,1554105610411
2,-25.437500,-3.687500,-43.375000,1554105610411
4,0.008744,-0.002688,0.012776,1554105610412
-3, 1.621892, 0, 0, 0
1,0.231299,0.558510,9.895265,1554105610421
2,-25.437500,-3.375000,-43.312500,1554105610421
4,0.007645,0.007173,0.015167,1554105610421
-3, 1.607503, 0, 0, 0
1,0.234153,0.545370,9.887622,1554105610431
2,-25.500000,-3.562500,-43.437500,1554105610431
4,0.009966,0.008151,0.013753,1554105610431
-3, 1.617074, 0, 0, 0
1,0.239554,0.501767,9.867587,1554105610441
2,-25.625000,-3.500000,-43.125000,1554105610441
4,0.009076,-0.003595,0.012444,1554105610441
-3, 1.622646, 0, 0, 0
1,0.270439,0.500417,9.836252,1554105610451
2,-25.750000,-3.437500,-43.062500,1554105610451
4,0.004904,-0.025290,0.006283,1554105610452
-3, 1.620063, 0, 0, 0
1,0.266513,0.492162,9.854132,1554105610461
2,-25.562500,-3.562500,-42.875000,1554105610461
4,0.000995,-0.034558,0.000942,1554105610461
-3, 1.627571, 0, 0, 0
1,0.229920,0.510204,9.869129,1554105610471
2,-25.750000,-3.625000,-42.812500,1554105610471
4,0.000785,-0.035762,-0.000908,1554105610471
-3, 1.626509, 0, 0, 0
1,0.231261,0.505224,9.874502,1554105610481
2,-25.625000,-3.250000,-42.562500,1554105610481
4,0.000017,-0.032795,-0.000367,1554105610481
-3, 1.613070, 0, 0, 0
1,0.208439,0.525154,9.861593,1554105610491
2,-25.687500,-3.062500,-42.375000,1554105610491
4,0.002601,-0.022026,0.003578,1554105610492
-3, 1.602131, 0, 0, 0
1,0.222421,0.507427,9.856660,1554105610501
2,-25.750000,-2.875000,-42.500000,1554105610501
4,0.005480,-0.011275,0.010297,1554105610501
-3, 1.597315, 0, 0, 0
1,0.246478,0.530785,9.843215,1554105610511
2,-25.750000,-2.875000,-42.687500,1554105610511
4,0.008517,-0.006667,0.011397,1554105610511
-3, 1.592640, 0, 0, 0
1,0.271292,0.532882,9.843616,1554105610521
2,-25.625000,-2.625000,-42.562500,1554105610521
4,0.009791,-0.003491,0.011083,1554105610521
-3, 1.582416, 0, 0, 0
1,0.248700,0.535094,9.879549,1554105610531
2,-25.312500,-2.750000,-42.875000,1554105610531
4,0.006231,-0.004224,0.011048,1554105610532
-3, 1.587068, 0, 0, 0
1,0.266867,0.542268,9.896289,1554105610541
2,-25.250000,-2.750000,-42.875000,1554105610541
4,0.000838,-0.006528,0.012881,1554105610541
-3, 1.585931, 0, 0, 0
1,0.288971,0.569130,9.925480,1554105610551
2,-25.437500,-2.812500,-43.062500,1554105610551
4,-0.008604,-0.000995,0.016354,1554105610551
-3, 1.583307, 0, 0, 0
1,0.355932,0.589711,9.948665,1554105610561
2,-25.125000,-2.750000,-42.937500,1554105610561
4,-0.017000,0.013963,0.017017,1554105610561
-3, 1.577356, 0, 0, 0
1,0.330831,0.593005,10.025241,1554105610571
2,-25.250000,-2.750000,-43.062500,1554105610571
4,-0.022759,0.033999,0.015499,1554105610572
-3, 1.577349, 0, 0, 0
1,0.256218,0.557303,9.995811,1554105610581
2,-25.125000,-2.812500,-43.125000,1554105610581
4,-0.028519,0.044907,0.024400,1554105610581
-3, 1.586339, 0, 0, 0
1,0.221148,0.514686,9.892248,1554105610591
2,-25.000000,-2.937500,-43.000000,1554105610591
4,-0.036722,0.054489,0.035901,1554105610591
-3, 1.598725, 0, 0, 0
1,0.159502,0.429960,9.766715,1554105610601
2,-25.187500,-3.000000,-42.875000,1554105610601
4,-0.053669,0.058469,0.047386,1554105610601
-3, 1.615443, 0, 0, 0
1,0.126050,0.319061,9.736423,1554105610611
2,-25.250000,-3.000000,-43.000000,1554105610611
4,-0.064874,0.026424,0.059079,1554105610612
-3, 1.634682, 0, 0, 0
1,0.293098,0.446662,9.798817,1554105610621
2,-25.187500,-2.750000,-42.937500,1554105610621
4,-0.060004,0.003683,0.054175,1554105610621
-3, 1.602570, 0, 0, 0
1,0.297283,0.558912,9.934195,1554105610631
2,-25.312500,-2.562500,-42.937500,1554105610631
4,-0.038973,-0.001501,0.042377,1554105610631
-3, 1.575218, 0, 0, 0
1,0.360701,0.552505,9.943714,1554105610641
2,-25.250000,-2.500000,-42.812500,1554105610641
4,-0.014067,-0.007662,0.031573,1554105610641
-3, 1.573895, 0, 0, 0
1,0.347801,0.463029,9.921371,1554105610651
2,-25.437500,-2.625000,-42.687500,1554105610651
4,0.004939,0.010926,0.023195,1554105610652
-3, 1.595576, 0, 0, 0
1,0.271282,0.429798,9.887000,1554105610661
2,-25.500000,-2.812500,-42.687500,1554105610661
4,0.020630,0.031433,0.019303,1554105610662
-3, 1.608894, 0, 0, 0
1,0.251228,0.446672,9.801537,1554105610671
2,-25.625000,-2.875000,-42.562500,1554105610671
4,0.026320,0.033493,0.019426,1554105610671
-3, 1.607711, 0, 0, 0
1,0.312127,0.473851,9.767663,1554105610681
2,-25.625000,-2.937500,-42.812500,1554105610681
4,0.026145,0.026930,0.014259,1554105610681
-3, 1.604690, 0, 0, 0
1,0.317615,0.535889,9.745195,1554105610691
2,-25.500000,-2.937500,-42.750000,1554105610691
4,0.025429,0.017558,0.007313,1554105610692
-3, 1.593317, 0, 0, 0
1,0.295569,0.554947,9.732114,1554105610701
2,-25.625000,-2.937500,-42.687500,1554105610701
4,0.021904,0.001065,-0.000140,1554105610702
-3, 1.589732, 0, 0, 0
1,0.318697,0.550303,9.801182,1554105610711
2,-25.937500,-2.937500,-42.500000,1554105610711
4,0.018483,-0.017069,-0.005498,1554105610713
-3, 1.591398, 0, 0, 0
1,0.340963,0.568632,9.884212,1554105610721
2,-25.875000,-3.000000,-42.562500,1554105610721
4,0.020700,-0.025185,-0.008971,1554105610721
-3, 1.591382, 0, 0, 0
1,0.335035,0.563557,9.899172,1554105610731
2,-26.125000,-2.812500,-42.562500,1554105610731
4,0.023178,-0.023422,-0.004974,1554105610731
-3, 1.584633, 0, 0, 0
1,0.365662,0.566842,9.865222,1554105610741
2,-25.937500,-2.625000,-42.875000,1554105610741
4,0.020176,-0.025534,-0.001885,1554105610742
-3, 1.575297, 0, 0, 0
1,0.413737,0.543666,9.823419,1554105610751
2,-26.000000,-2.312500,-43.062500,1554105610751
4,0.010158,-0.021625,0.000017,1554105610751
-3, 1.565548, 0, 0, 0
1,0.425632,0.513393,9.775669,1554105610761
2,-26.000000,-2.250000,-43.187500,1554105610761
4,-0.006615,-0.012235,0.001414,1554105610761
-3, 1.567765, 0, 0, 0
1,0.436377,0.514236,9.741241,1554105610771
2,-26.062500,-1.937500,-43.062500,1554105610771
4,-0.025517,-0.003229,0.003997,1554105610772
-3, 1.554532, 0, 0, 0
1,0.438235,0.530450,9.736528,1554105610781
2,-26.000000,-2.187500,-43.437500,1554105610781
4,-0.042691,0.007505,0.003543,1554105610781
-3, 1.560910, 0, 0, 0
1,0.407445,0.535861,9.742083,1554105610791
2,-25.875000,-2.312500,-43.312500,1554105610791
4,-0.052814,0.021956,0.005603,1554105610791
-3, 1.565599, 0, 0, 0
1,0.380783,0.552381,9.790255,1554105610801
2,-25.625000,-2.312500,-43.375000,1554105610801
4,-0.051278,0.028379,0.007487,1554105610801
-3, 1.562981, 0, 0, 0
1,0.335907,0.541530,9.807713,1554105610811
2,-25.687500,-2.375000,-43.375000,1554105610811
4,-0.037978,0.024574,0.012060,1554105610811
-3, 1.568086, 0, 0, 0
1,0.369224,0.551634,9.858643,1554105610821
2,-25.500000,-2.687500,-43.437500,1554105610821
4,-0.017872,0.011938,0.013439,1554105610822
-3, 1.579461, 0, 0, 0
1,0.398807,0.582433,9.840801,1554105610831
2,-25.687500,-2.687500,-43.312500,1554105610831
4,0.001239,-0.006283,0.009529,1554105610831
-3, 1.573582, 0, 0, 0
1,0.431722,0.593647,9.791883,1554105610841
2,-25.437500,-2.937500,-43.125000,1554105610841
4,0.010594,-0.026599,0.001745,1554105610841
-3, 1.581841, 0, 0, 0
1,0.458547,0.574790,9.762673,1554105610851
2,-25.562500,-2.875000,-43.187500,1554105610851
4,0.010804,-0.046967,-0.001134,1554105610851
-3, 1.582149, 0, 0, 0
1,0.458403,0.560626,9.734900,1554105610861
2,-25.437500,-3.000000,-43.187500,1554105610861
4,0.000506,-0.059236,-0.002391,1554105610862
-3, 1.589991, 0, 0, 0
1,0.483035,0.581829,9.713296,1554105610872
2,-25.187500,-2.687500,-42.937500,1554105610872
4,-0.014853,-0.062570,-0.002025,1554105610873
-3, 1.572835, 0, 0, 0
1,0.511909,0.576878,9.735456,1554105610881
2,-25.312500,-2.687500,-43.062500,1554105610881
4,-0.027279,-0.057229,-0.000628,1554105610881
-3, 1.573581, 0, 0, 0
1,0.514102,0.579636,9.782144,1554105610891
2,-25.312500,-2.687500,-43.062500,1554105610891
4,-0.032323,-0.045431,0.004695,1554105610891
-3, 1.573584, 0, 0, 0
1,0.531465,0.647689,9.795254,1554105610901
2,-25.187500,-2.875000,-43.250000,1554105610901
4,-0.028362,-0.036320,0.015464,1554105610901
-3, 1.567886, 0, 0, 0
1,0.563308,0.698341,9.774769,1554105610911
2,-25.250000,-2.625000,-43.000000,1554105610911
