sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1556155006904
2,0.000000,0.000000,0.000000,1556155006905
4,0.000000,0.000000,0.000000,1556155006905
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1556155006912
2,0.000000,0.000000,0.000000,1556155006912
4,0.000000,0.000000,0.000000,1556155006912
-3, 0.000000, 0, 0, 0
1,-0.207252,-0.199188,10.058990,1556155006922
2,0.000000,0.000000,0.000000,1556155006922
4,0.014539,0.006405,-0.010908,1556155006922
-3, 0.000000, 0, 0, 0
1,-0.166550,-0.180408,10.133832,1556155006932
2,39.500000,-3.000000,-48.250000,1556155006933
4,0.048712,-0.000157,-0.018972,1556155006933
-3, -1.670452, 0, 0, 0
1,-0.009216,-0.009365,0.498533,1556155006942
2,0.987499,-0.075000,-1.206249,1556155006943
4,0.001572,0.000152,-0.000740,1556155006943
-3, 0.000000, 0, 0, 0
1,-0.238003,-0.198345,9.937996,1556155006952
2,40.062500,-2.812500,-48.125000,1556155006953
4,0.076550,-0.030055,-0.028938,1556155006953
-3, -1.667943, 0, 0, 0
1,-0.014935,-0.014090,0.734519,1556155006962
2,1.964373,-0.143437,-2.379217,1556155006962
4,0.003447,-0.000603,-0.001445,1556155006963
-3, 0.000000, 0, 0, 0
1,-0.014935,-0.014090,0.734519,1556155006972
2,1.964373,-0.143437,-2.379217,1556155006972
4,0.003447,-0.000603,-0.001445,1556155006972
-3, 0.000000, 0, 0, 0
1,-0.315441,-0.154838,9.733732,1556155006982
2,39.812500,-3.125000,-47.937500,1556155006982
4,-0.017558,0.000576,0.001518,1556155006982
-3, -1.672610, 0, 0, 0
1,-0.022448,-0.017609,0.959500,1556155006992
2,2.910575,-0.217976,-3.518173,1556155006993
4,0.002922,-0.000573,-0.001371,1556155006993
-3, 0.000000, 0, 0, 0
1,-0.270612,-0.158314,9.883523,1556155007004
2,39.750000,-3.000000,-47.750000,1556155007004
4,-0.032934,0.025429,0.014573,1556155007004
-3, -1.668878, 0, 0, 0
1,-0.234584,-0.169280,9.941166,1556155007013
2,39.875000,-3.125000,-47.812500,1556155007013
4,-0.017366,0.034366,0.015376,1556155007014
-3, -1.672523, 0, 0, 0
1,-0.236930,-0.160871,9.966660,1556155007022
2,39.750000,-2.875000,-47.687500,1556155007023
4,0.004520,0.028449,0.011292,1556155007023
-3, -1.665295, 0, 0, 0
1,-0.247503,-0.186393,9.978936,1556155007032
2,39.500000,-3.187500,-47.875000,1556155007033
4,0.025133,0.014451,0.005323,1556155007033
-3, -1.677406, 0, 0, 0
1,-0.236997,-0.206830,9.952927,1556155007042
2,39.312500,-3.000000,-47.750000,1556155007043
4,0.040649,0.003019,0.002409,1556155007043
-3, -1.675491, 0, 0, 0
1,-0.236739,-0.181423,9.844851,1556155007053
2,39.312500,-3.062500,-47.562500,1556155007054
4,0.047770,-0.009809,-0.004171,1556155007055
-3, -1.674082, 0, 0, 0
1,-0.232592,-0.167556,9.756027,1556155007062
2,39.375000,-3.125000,-47.687500,1556155007063
4,0.043843,-0.024853,-0.011065,1556155007063
-3, -1.673995, 0, 0, 0
1,-0.233186,-0.157749,9.664319,1556155007072
2,39.437500,-3.250000,-48.000000,1556155007073
4,0.028431,-0.032062,-0.011118,1556155007073
-3, -1.676185, 0, 0, 0
1,-0.201352,-0.125408,9.622469,1556155007082
2,39.375000,-3.375000,-48.062500,1556155007083
4,0.006702,-0.031695,-0.012147,1556155007083
-3, -1.674991, 0, 0, 0
1,-0.212528,-0.125791,9.656610,1556155007092
2,39.562500,-3.437500,-48.187500,1556155007093
4,-0.014870,-0.021485,-0.012252,1556155007093
-3, -1.676291, 0, 0, 0
1,-0.244678,-0.151486,9.715335,1556155007102
2,39.562500,-3.250000,-48.187500,1556155007103
4,-0.031765,-0.016214,-0.007505,1556155007103
-3, -1.675169, 0, 0, 0
1,-0.236499,-0.155690,9.755032,1556155007112
2,39.625000,-3.375000,-48.375000,1556155007113
4,-0.042673,-0.013212,-0.003508,1556155007113
-3, -1.678631, 0, 0, 0
1,-0.234766,-0.170898,9.800262,1556155007122
2,39.687500,-3.312500,-48.187500,1556155007123
4,-0.043982,-0.012828,-0.001588,1556155007123
-3, -1.678581, 0, 0, 0
1,-0.196037,-0.152310,9.854907,1556155007132
2,39.812500,-3.312500,-48.250000,1556155007134
4,-0.036722,-0.012374,-0.001710,1556155007134
-3, -1.675182, 0, 0, 0
1,-0.197158,-0.122286,9.861832,1556155007142
2,39.812500,-3.312500,-48.187500,1556155007143
4,-0.020717,-0.018553,-0.005637,1556155007143
-3, -1.671363, 0, 0, 0
1,-0.229508,-0.115688,9.850742,1556155007152
2,39.687500,-3.312500,-48.250000,1556155007153
4,-0.006144,-0.029880,-0.011729,1556155007153
-3, -1.671342, 0, 0, 0
1,-0.256256,-0.147981,9.847276,1556155007162
2,39.437500,-3.000000,-48.375000,1556155007163
4,0.002321,-0.037123,-0.013980,1556155007163
-3, -1.668516, 0, 0, 0
1,-0.279873,-0.149810,9.835276,1556155007172
2,39.312500,-3.000000,-48.437500,1556155007173
4,0.004084,-0.049620,-0.013771,1556155007173
-3, -1.669470, 0, 0, 0
1,-0.302445,-0.120515,9.852074,1556155007182
2,39.000000,-2.875000,-48.437500,1556155007183
4,0.004206,-0.052587,-0.011065,1556155007183
-3, -1.663378, 0, 0, 0
1,-0.320277,-0.090874,9.883083,1556155007192
2,38.687500,-3.000000,-48.312500,1556155007193
4,0.004084,-0.045658,-0.003002,1556155007193
-3, -1.663653, 0, 0, 0
1,-0.341030,-0.074259,9.993523,1556155007202
2,38.500000,-3.187500,-48.250000,1556155007203
4,0.004608,-0.030456,0.013195,1556155007203
-3, -1.667025, 0, 0, 0
1,-0.235676,-0.066568,10.173642,1556155007212
2,38.812500,-3.000000,-48.312500,1556155007212
4,0.009477,-0.008779,0.032184,1556155007213
-3, -1.658719, 0, 0, 0
1,-0.138031,-0.038240,10.331507,1556155007222
2,38.750000,-2.937500,-48.562500,1556155007223
4,0.019321,0.009756,0.039933,1556155007223
-3, -1.652485, 0, 0, 0
1,-0.052998,-0.077256,10.257861,1556155007232
2,38.812500,-3.000000,-48.750000,1556155007233
4,0.022201,0.032987,0.039060,1556155007233
-3, -1.657934, 0, 0, 0
1,-0.074757,-0.242638,9.951375,1556155007242
2,38.750000,-2.937500,-48.625000,1556155007243
4,0.001937,0.030002,0.043546,1556155007243
-3, -1.677953, 0, 0, 0
1,-0.236183,-0.025580,9.676893,1556155007252
2,38.937500,-3.312500,-48.562500,1556155007253
4,-0.025953,0.034523,0.060493,1556155007253
-3, -1.661779, 0, 0, 0
1,-0.345933,0.266025,9.442770,1556155007262
2,39.125000,-3.250000,-48.625000,1556155007263
4,-0.048625,0.005707,0.080198,1556155007263
-3, -1.620086, 0, 0, 0
1,-0.252445,0.274299,9.126774,1556155007273
2,39.125000,-3.312500,-48.812500,1556155007273
4,-0.088558,-0.061104,0.082153,1556155007274
-3, -1.618780, 0, 0, 0
1,-0.258124,0.054128,9.072780,1556155007282
2,39.125000,-3.250000,-48.875000,1556155007283
4,-0.134163,-0.104231,0.081158,1556155007283
-3, -1.648899, 0, 0, 0
1,-0.223159,-0.152137,9.304241,1556155007293
2,39.062500,-3.062500,-48.875000,1556155007293
4,-0.166452,-0.113272,0.085015,1556155007294
-3, -1.672766, 0, 0, 0
1,-0.159550,-0.246268,9.621655,1556155007302
2,38.875000,-3.187500,-49.000000,1556155007303
4,-0.175318,-0.093061,0.078016,1556155007303
-3, -1.687362, 0, 0, 0
1,-0.116033,-0.229422,10.014179,1556155007312
2,38.812500,-3.312500,-48.937500,1556155007313
4,-0.147777,-0.019827,0.064176,1556155007313
-3, -1.686447, 0, 0, 0
1,-0.097233,-0.218485,10.245604,1556155007322
2,38.750000,-3.125000,-48.750000,1556155007323
4,-0.092171,0.056758,0.040701,1556155007323
-3, -1.679322, 0, 0, 0
1,-0.128348,-0.171434,10.315025,1556155007332
2,39.062500,-3.125000,-48.687500,1556155007333
4,-0.022689,0.096552,0.019059,1556155007333
-3, -1.672942, 0, 0, 0
1,-0.170544,-0.155987,10.347089,1556155007342
