sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1556155103373
2,0.000000,0.000000,0.000000,1556155103373
4,0.000000,0.000000,0.000000,1556155103373
-3, 0.000000, 0, 0, 0
1,-0.030598,-0.035195,9.692848,1556155103382
2,0.000000,0.000000,0.000000,1556155103383
4,-0.004573,0.002269,-0.003176,1556155103383
-3, 0.000000, 0, 0, 0
1,-0.006474,-0.047367,9.695817,1556155103392
2,11.000000,27.437500,-47.062500,1556155103393
4,-0.015795,-0.002164,-0.007470,1556155103393
-3, -0.383218, 0, 0, 0
1,0.036497,-0.039744,9.720832,1556155103402
2,11.000000,27.437500,-47.875000,1556155103403
4,-0.017349,-0.011589,-0.014137,1556155103403
-3, -0.389429, 0, 0, 0
1,0.051916,-0.061933,9.745550,1556155103412
2,11.187500,27.062500,-48.000000,1556155103413
4,-0.017872,-0.022480,-0.025080,1556155103413
-3, -0.404122, 0, 0, 0
1,0.022764,-0.035032,9.767893,1556155103423
2,11.125000,26.937500,-48.000000,1556155103423
4,-0.019530,-0.025901,-0.029688,1556155103423
-3, -0.397483, 0, 0, 0
1,-0.010774,0.012182,9.771321,1556155103432
2,10.875000,27.000000,-48.000000,1556155103433
4,-0.024487,-0.018291,-0.027559,1556155103433
-3, -0.380447, 0, 0, 0
1,-0.062623,-0.030148,9.800205,1556155103442
2,10.750000,27.000000,-47.937500,1556155103442
4,-0.027140,-0.007941,-0.022323,1556155103442
-3, -0.370922, 0, 0, 0
1,-0.055316,-0.057087,9.864331,1556155103452
2,10.875000,27.000000,-48.000000,1556155103452
4,-0.024173,-0.003107,-0.015027,1556155103452
-3, -0.377829, 0, 0, 0
1,-0.041429,-0.028261,9.868382,1556155103462
2,10.937500,26.812500,-48.000000,1556155103463
4,-0.019513,0.004259,-0.011746,1556155103463
-3, -0.382637, 0, 0, 0
1,0.019154,-0.021596,9.850071,1556155103472
2,11.062500,26.625000,-48.125000,1556155103472
4,-0.019914,0.005899,-0.013299,1556155103472
-3, -0.398201, 0, 0, 0
1,0.072238,-0.083060,9.817223,1556155103482
2,10.875000,26.312500,-48.187500,1556155103482
4,-0.024627,-0.001868,-0.017122,1556155103482
-3, -0.409036, 0, 0, 0
1,0.077534,-0.099091,9.799276,1556155103493
2,11.062500,26.312500,-48.250000,1556155103493
4,-0.032795,-0.016598,-0.023771,1556155103493
-3, -0.417140, 0, 0, 0
1,0.077342,-0.087733,9.807981,1556155103503
2,11.125000,26.625000,-48.437500,1556155103503
4,-0.040055,-0.030997,-0.029548,1556155103503
-3, -0.413942, 0, 0, 0
1,0.031249,-0.076634,9.835945,1556155103512
2,11.187500,26.500000,-48.500000,1556155103513
4,-0.044331,-0.029322,-0.035273,1556155103513
-3, -0.409622, 0, 0, 0
1,0.005966,-0.066147,9.886875,1556155103522
2,11.375000,26.437500,-48.562500,1556155103522
4,-0.039130,-0.016022,-0.033650,1556155103522
-3, -0.411776, 0, 0, 0
1,-0.010372,-0.023559,9.891654,1556155103532
2,11.562500,26.500000,-48.812500,1556155103532
