sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1556450804594
2,0.000000,0.000000,0.000000,1556450804595
4,0.000000,0.000000,0.000000,1556450804595
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1556450804601
2,0.437500,25.812500,-43.437500,1556450804602
4,-0.002094,-0.004032,0.011205,1556450804602
-3, 0.000000, 0, 0, 0
1,0.376905,0.719419,9.804198,1556450804611
2,0.010937,0.645312,-1.085936,1556450804611
4,0.000279,0.002409,0.012793,1556450804612
-3, -0.072696, 0, 0, 0
1,0.400569,0.689693,9.831100,1556450804621
2,0.000000,25.312500,-43.250000,1556450804622
4,0.005288,0.007645,0.007453,1556450804622
-3, -0.062199, 0, 0, 0
1,0.383953,0.701243,9.791595,1556450804632
2,-0.062500,25.312500,-42.937500,1556450804632
4,0.002880,-0.006615,0.003578,1556450804632
-3, -0.057158, 0, 0, 0
1,0.028320,0.051440,0.717425,1556450804641
2,0.008835,1.863253,-3.159973,1556450804641
4,0.000159,-0.000015,0.000835,1556450804641
-3, 0.000000, 0, 0, 0
1,0.028320,0.051440,0.717425,1556450804652
2,0.008835,1.863253,-3.159973,1556450804652
4,0.000159,-0.000015,0.000835,1556450804652
-3, 0.000000, 0, 0, 0
1,0.358441,0.704125,9.866591,1556450804662
2,-0.375000,25.312500,-42.875000,1556450804662
4,0.006370,0.004032,0.010455,1556450804662
-3, -0.041740, 0, 0, 0
1,0.036573,0.067757,0.946154,1556450804671
2,-0.000761,2.449484,-4.152847,1556450804672
4,0.000314,0.000086,0.001075,1556450804672
-3, 0.000000, 0, 0, 0
1,0.371877,0.724553,9.809725,1556450804682
2,-0.625000,25.250000,-42.875000,1556450804682
4,0.010559,0.012479,0.016005,1556450804682
-3, -0.035262, 0, 0, 0
1,0.397754,0.740297,9.778418,1556450804692
2,-0.875000,25.187500,-42.750000,1556450804692
4,0.004398,-0.002601,0.010577,1556450804692
-3, -0.030449, 0, 0, 0
1,0.381224,0.713386,9.742044,1556450804701
2,-0.750000,24.937500,-42.812500,1556450804702
4,-0.005253,-0.029461,0.003473,1556450804702
-3, -0.033016, 0, 0, 0
1,0.396288,0.715541,9.791730,1556450804711
2,-0.875000,25.062500,-43.062500,1556450804712
4,-0.014661,-0.038868,0.000401,1556450804712
-3, -0.030813, 0, 0, 0
1,0.374501,0.671315,9.822825,1556450804722
2,-0.750000,25.062500,-43.250000,1556450804722
4,-0.015917,-0.021014,0.000000,1556450804722
-3, -0.032127, 0, 0, 0
1,0.305242,0.673412,9.875076,1556450804731
2,-0.875000,24.937500,-43.250000,1556450804732
4,-0.013456,0.001833,0.006336,1556450804732
-3, -0.016592, 0, 0, 0
1,0.326665,0.675366,9.953760,1556450804742
2,-0.875000,24.875000,-43.312500,1556450804742
4,-0.001728,0.013928,0.014748,1556450804742
-3, -0.019679, 0, 0, 0
1,0.376397,0.694903,9.975404,1556450804751
2,-0.562500,24.812500,-43.437500,1556450804752
4,0.016022,0.010873,0.016092,1556450804752
-3, -0.038720, 0, 0, 0
1,0.429596,0.719553,9.896021,1556450804761
2,-0.312500,24.625000,-43.625000,1556450804762
4,0.033388,0.008535,0.012531,1556450804762
-3, -0.056932, 0, 0, 0
1,0.484213,0.734551,9.796910,1556450804771
2,-0.250000,24.562500,-43.625000,1556450804772
4,0.038572,0.004171,0.003281,1556450804772
-3, -0.068503, 0, 0, 0
1,0.455138,0.781601,9.717969,1556450804781
2,-0.062500,24.500000,-43.687500,1556450804782
4,0.031486,0.000314,-0.004817,1556450804782
-3, -0.070858, 0, 0, 0
1,0.417645,0.773212,9.650730,1556450804791
2,-0.187500,24.562500,-43.687500,1556450804792
4,0.017279,-0.004695,-0.013003,1556450804792
-3, -0.060765, 0, 0, 0
1,0.390082,0.751856,9.655826,1556450804801
2,-0.125000,24.500000,-43.500000,1556450804802
4,0.002269,-0.005829,-0.012723,1556450804802
-3, -0.058606, 0, 0, 0
1,0.364781,0.745401,9.694544,1556450804811
2,-0.187500,24.812500,-43.562500,1556450804812
4,-0.006196,0.000297,-0.009442,1556450804812
-3, -0.051623, 0, 0, 0
1,0.347188,0.719592,9.722528,1556450804821
2,0.125000,24.687500,-43.625000,1556450804822
4,-0.007959,0.004695,-0.000332,1556450804822
-3, -0.060344, 0, 0, 0
1,0.353806,0.697709,9.745655,1556450804831
2,0.062500,24.750000,-43.562500,1556450804832
4,-0.009564,0.010647,0.005358,1556450804832
-3, -0.059043, 0, 0, 0
1,0.373783,0.687184,9.757311,1556450804841
2,-0.125000,24.625000,-43.562500,1556450804842
4,-0.011606,0.006510,0.012147,1556450804842
-3, -0.055794, 0, 0, 0
1,0.411276,0.693658,9.812271,1556450804851
2,-0.312500,24.687500,-43.437500,1556450804852
4,-0.012078,-0.005079,0.010577,1556450804852
-3, -0.054375, 0, 0, 0
1,0.459323,0.731390,9.811831,1556450804861
2,-0.312500,24.750000,-43.312500,1556450804862
4,-0.008901,-0.016424,0.006510,1556450804862
-3, -0.061339, 0, 0, 0
1,0.459897,0.709546,9.751238,1556450804871
2,-0.437500,24.750000,-43.312500,1556450804872
4,-0.011013,-0.015394,-0.002461,1556450804872
-3, -0.057568, 0, 0, 0
1,0.391308,0.720664,9.711294,1556450804881
2,-0.437500,24.812500,-43.250000,1556450804882
4,-0.025552,-0.000454,-0.006667,1556450804882
-3, -0.046641, 0, 0, 0
1,0.356564,0.695602,9.763287,1556450804891
2,-0.375000,25.000000,-43.375000,1556450804892
4,-0.034174,0.008151,-0.006510,1556450804892
-3, -0.043101, 0, 0, 0
1,0.309369,0.701300,9.816868,1556450804901
2,-0.312500,24.750000,-43.312500,1556450804902
4,-0.036093,0.004084,-0.004363,1556450804902
-3, -0.037860, 0, 0, 0
1,0.309743,0.703713,9.871226,1556450804911
2,-0.500000,24.875000,-43.312500,1556450804912
4,-0.034156,0.005306,-0.002286,1556450804912
-3, -0.030777, 0, 0, 0
1,0.308306,0.702899,9.923239,1556450804921
2,-0.625000,24.937500,-43.312500,1556450804922
4,-0.025395,0.000000,-0.004136,1556450804922
-3, -0.025781, 0, 0, 0
1,0.234996,0.721469,9.883906,1556450804932
2,-0.687500,25.000000,-43.625000,1556450804932
4,-0.014818,-0.000593,0.000436,1556450804932
-3, -0.012437, 0, 0, 0
1,0.212222,0.747795,9.847649,1556450804942
2,-0.625000,25.000000,-43.812500,1556450804942
4,-0.010524,0.004869,0.012200,1556450804942
-3, -0.011297, 0, 0, 0
1,0.196325,0.766968,9.783426,1556450804951
2,-0.500000,25.250000,-43.812500,1556450804952
4,-0.005882,0.010873,0.027559,1556450804952
-3, -0.013257, 0, 0, 0
1,0.281922,0.776363,9.703786,1556450804962
2,-0.562500,25.375000,-43.812500,1556450804962
4,-0.010332,0.014696,0.039235,1556450804962
-3, -0.024662, 0, 0, 0
1,0.387363,0.799635,9.678944,1556450804972
2,-0.625000,25.375000,-43.562500,1556450804974
4,-0.021956,-0.003334,0.036530,1556450804974
-3, -0.038687, 0, 0, 0
1,0.492813,0.768050,9.729078,1556450804981
2,-0.625000,25.187500,-43.375000,1556450804982
4,-0.032009,-0.023457,0.022777,1556450804982
-3, -0.055003, 0, 0, 0
1,0.517703,0.694749,9.832412,1556450804991
2,-0.750000,25.125000,-43.125000,1556450804992
4,-0.040631,-0.012147,0.009477,1556450804992
-3, -0.053995, 0, 0, 0
1,0.486119,0.563892,10.080997,1556450805001
2,-0.750000,25.375000,-43.125000,1556450805002
4,-0.040980,0.026180,0.004311,1556450805003
-3, -0.047836, 0, 0, 0
1,0.438225,0.437785,10.493193,1556450805011
2,-0.500000,25.500000,-43.187500,1556450805012
4,-0.015097,0.075363,0.000157,1556450805012
-3, -0.047716, 0, 0, 0
1,0.359820,0.344353,10.715652,1556450805021
2,-0.500000,25.625000,-42.875000,1556450805022
4,0.036565,0.110497,0.000122,1556450805022
-3, -0.034786, 0, 0, 0
1,0.287046,0.248556,10.467114,1556450805031
2,-0.375000,25.750000,-42.937500,1556450805032
4,0.086062,0.086691,0.006266,1556450805032
-3, -0.029967, 0, 0, 0
1,0.284297,0.437239,10.227110,1556450805042
2,-0.250000,25.437500,-43.187500,1556450805042
4,0.099955,0.033877,0.008744,1556450805043
-3, -0.034845, 0, 0, 0
1,0.328484,0.495006,10.069907,1556450805051
2,-0.187500,25.250000,-43.187500,1556450805052
4,0.097302,-0.009023,-0.000140,1556450805052
-3, -0.044620, 0, 0, 0
1,0.311754,0.548799,9.902312,1556450805061
2,-0.062500,25.437500,-43.687500,1556450805062
4,0.096883,-0.049236,-0.010071,1556450805062
-3, -0.047145, 0, 0, 0
1,0.353451,0.658702,9.796499,1556450805071
2,0.000000,25.562500,-43.812500,1556450805072
4,0.083078,-0.049428,-0.015656,1556450805072
-3, -0.055487, 0, 0, 0
1,0.371915,0.745363,9.707032,1556450805081
2,0.000000,25.500000,-44.250000,1556450805082
4,0.070965,-0.043459,-0.021747,1556450805082
-3, -0.058740, 0, 0, 0
1,0.358230,0.809049,9.595137,1556450805091
2,0.000000,25.375000,-44.062500,1556450805092
4,0.054489,-0.042307,-0.027419,1556450805092
-3, -0.056660, 0, 0, 0
1,0.315297,0.859269,9.593566,1556450805101
2,-0.187500,25.062500,-44.062500,1556450805102
4,0.035378,-0.040945,-0.028379,1556450805102
-3, -0.043585, 0, 0, 0
1,0.275103,0.892673,9.675352,1556450805111
2,0.250000,24.812500,-44.062500,1556450805112
4,0.032498,-0.051592,-0.022427,1556450805112
-3, -0.052201, 0, 0, 0
1,0.301535,0.932992,9.630964,1556450805121
2,0.437500,24.750000,-43.812500,1556450805122
4,0.034575,-0.040841,-0.013928,1556450805122
