sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1556154898483
2,0.000000,0.000000,0.000000,1556154898484
4,0.000000,0.000000,0.000000,1556154898484
-3, 0.000000, 0, 0, 0
1,-0.572511,-0.175715,9.899325,1556154898491
2,10.562500,-31.062500,-50.437500,1556154898491
4,-0.014696,-0.026756,0.009931,1556154898491
-3, -2.907165, 0, 0, 0
1,-0.014313,-0.004393,0.247483,1556154898501
2,0.264062,-0.776562,-1.260936,1556154898501
4,-0.000367,-0.000669,0.000248,1556154898501
-3, 0.000000, 0, 0, 0
1,-0.593657,-0.133740,9.894364,1556154898512
2,10.562500,-30.875000,-50.812500,1556154898514
4,-0.000367,-0.000669,0.000248,1556154898514
-3, -2.908305, 0, 0, 0
1,-0.603195,-0.158946,9.836655,1556154898521
2,10.625000,-31.375000,-50.562500,1556154898522
4,0.000925,-0.018535,0.019635,1556154898522
-3, -2.912416, 0, 0, 0
1,-0.636772,-0.126921,9.739651,1556154898533
2,10.937500,-31.625000,-50.312500,1556154898533
4,0.003508,-0.012427,0.024278,1556154898533
-3, -2.909461, 0, 0, 0
1,-0.057997,-0.014297,0.947787,1556154898541
2,1.028194,-3.008916,-4.866571,1556154898541
4,-0.000239,-0.001398,0.001322,1556154898541
-3, 0.000000, 0, 0, 0
1,-0.057997,-0.014297,0.947787,1556154898551
2,1.028194,-3.008916,-4.866571,1556154898552
4,-0.000239,-0.001398,0.001322,1556154898552
-3, 0.000000, 0, 0, 0
1,-0.728862,-0.174011,9.639946,1556154898562
2,11.062500,-31.687500,-50.062500,1556154898563
4,-0.008343,-0.024120,0.034523,1556154898563
-3, -2.922540, 0, 0, 0
1,-0.074768,-0.018290,1.165090,1556154898571
2,1.279052,-3.725880,-5.996469,1556154898572
4,-0.000442,-0.001966,0.002152,1556154898572
-3, -2.912122, 0, 0, 0
1,-0.579196,-0.278877,9.872424,1556154898582
2,10.875000,-31.562500,-49.875000,1556154898582
