sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1554106755174
2,0.000000,0.000000,0.000000,1554106755174
4,0.000000,0.000000,0.000000,1554106755174
-3, 0.000000, 0, 0, 0
1,0.112997,-0.167422,9.934242,1554106755184
2,0.000000,0.000000,0.000000,1554106755184
4,-0.024347,0.018884,0.023475,1554106755184
-3, 0.000000, 0, 0, 0
1,0.085291,-0.137609,9.915233,1554106755193
2,-3.437500,24.687500,-49.437500,1554106755194
4,-0.024155,0.014190,0.019740,1554106755194
-3, 0.124859, 0, 0, 0
1,0.004887,-0.007521,0.490027,1554106755203
2,-0.085937,0.617187,-1.235936,1554106755203
4,-0.001197,0.000815,0.001066,1554106755204
-3, 0.000000, 0, 0, 0
1,0.097042,-0.078942,9.867741,1554106755212
2,-4.000000,24.375000,-49.625000,1554106755212
4,-0.027855,0.018326,0.026302,1554106755213
-3, 0.145432, 0, 0, 0
1,0.103669,-0.059261,9.907120,1554106755223
2,-4.000000,24.750000,-49.437500,1554106755223
4,-0.026686,0.020176,0.026424,1554106755223
-3, 0.141461, 0, 0, 0
1,0.100681,-0.062958,9.962810,1554106755232
2,-3.937500,24.875000,-49.312500,1554106755232
4,-0.019495,0.018047,0.021310,1554106755232
-3, 0.139105, 0, 0, 0
1,0.069853,-0.083510,9.964304,1554106755242
2,-3.812500,24.625000,-49.375000,1554106755242
4,-0.012025,0.013840,0.025011,1554106755243
-3, 0.142208, 0, 0, 0
1,0.060468,-0.102050,9.967205,1554106755252
2,-3.687500,24.625000,-49.375000,1554106755252
4,-0.007453,0.005253,0.027349,1554106755252
-3, 0.139559, 0, 0, 0
1,0.112729,-0.121434,9.958462,1554106755262
2,-3.750000,24.687500,-49.500000,1554106755262
4,-0.005166,-0.001274,0.025883,1554106755262
-3, 0.131677, 0, 0, 0
1,0.128626,-0.131796,9.963816,1554106755272
2,-3.625000,24.500000,-49.687500,1554106755272
4,-0.003613,-0.002443,0.018605,1554106755272
-3, 0.124491, 0, 0, 0
1,0.121750,-0.158477,9.937623,1554106755282
2,-3.625000,24.625000,-49.625000,1554106755282
4,-0.002304,0.002164,0.015917,1554106755283
-3, 0.125927, 0, 0, 0
1,0.105498,-0.179757,9.939567,1554106755293
2,-3.625000,24.812500,-49.500000,1554106755293
4,0.000157,0.006754,0.016109,1554106755293
-3, 0.128895, 0, 0, 0
1,0.084630,-0.173666,9.917799,1554106755302
2,-3.500000,25.062500,-49.312500,1554106755302
4,0.002339,0.006510,0.013020,1554106755302
-3, 0.126582, 0, 0, 0
1,0.100901,-0.185024,9.908031,1554106755312
2,-3.375000,24.937500,-49.500000,1554106755312
4,0.006091,0.002199,0.009285,1554106755312
-3, 0.119008, 0, 0, 0
1,0.125006,-0.202971,9.926436,1554106755322
2,-3.437500,24.687500,-49.625000,1554106755322
4,0.006999,0.001902,0.006109,1554106755322
-3, 0.118274, 0, 0, 0
1,0.122123,-0.162518,9.912206,1554106755332
2,-3.812500,24.875000,-49.625000,1554106755332
4,0.010594,0.003316,0.003840,1554106755332
-3, 0.132273, 0, 0, 0
1,0.146228,-0.148642,9.876953,1554106755342
2,-3.750000,24.875000,-49.812500,1554106755342
4,0.009721,0.000384,0.000681,1554106755342
-3, 0.124231, 0, 0, 0
1,0.178588,-0.124163,9.818736,1554106755352
2,-3.562500,24.875000,-49.625000,1554106755352
4,0.005428,-0.003840,-0.004433,1554106755352
-3, 0.109254, 0, 0, 0
1,0.191641,-0.128779,9.814819,1554106755362
2,-3.687500,24.750000,-49.375000,1554106755362
4,-0.004154,-0.007749,-0.008186,1554106755363
-3, 0.112509, 0, 0, 0
1,0.165095,-0.147023,9.766197,1554106755372
2,-3.750000,25.000000,-49.500000,1554106755372
4,-0.015080,-0.012339,-0.009687,1554106755372
-3, 0.119536, 0, 0, 0
1,0.130111,-0.152788,9.749017,1554106755382
2,-3.812500,24.750000,-49.500000,1554106755382
4,-0.028222,-0.017575,-0.007749,1554106755382
-3, 0.130727, 0, 0, 0
1,0.082140,-0.161542,9.766667,1554106755392
2,-3.875000,24.375000,-49.750000,1554106755392
4,-0.038607,-0.015568,-0.004311,1554106755392
-3, 0.145741, 0, 0, 0
1,0.037982,-0.185800,9.803624,1554106755402
2,-4.000000,24.437500,-49.750000,1554106755403
4,-0.043825,-0.008430,0.003979,1554106755403
-3, 0.160680, 0, 0, 0
1,0.011559,-0.206849,9.861257,1554106755412
2,-3.812500,24.687500,-49.562500,1554106755413
4,-0.038485,0.000000,0.013352,1554106755413
-3, 0.157483, 0, 0, 0
1,0.005239,-0.229010,9.932117,1554106755422
2,-3.562500,24.750000,-49.437500,1554106755423
4,-0.026843,-0.001553,0.017750,1554106755423
-3, 0.148718, 0, 0, 0
1,0.017640,-0.210422,9.942862,1554106755432
2,-3.625000,24.812500,-49.187500,1554106755433
4,-0.010664,-0.004677,0.018309,1554106755433
-3, 0.147771, 0, 0, 0
1,0.041630,-0.169385,9.906468,1554106755442
2,-3.812500,24.687500,-49.125000,1554106755443
4,0.002758,-0.006720,0.016266,1554106755443
-3, 0.150098, 0, 0, 0
1,0.030847,-0.127372,9.867558,1554106755453
2,-3.875000,25.000000,-49.312500,1554106755453
4,0.009879,-0.006929,0.014347,1554106755453
-3, 0.151564, 0, 0, 0
1,0.044877,-0.104943,9.853767,1554106755462
2,-3.875000,24.812500,-49.125000,1554106755463
4,0.010018,-0.009861,0.012741,1554106755463
-3, 0.149215, 0, 0, 0
1,0.071472,-0.099580,9.833187,1554106755472
2,-3.687500,24.812500,-49.062500,1554106755473
4,0.004206,-0.015691,0.012235,1554106755473
-3, 0.136143, 0, 0, 0
1,0.068608,-0.109702,9.857885,1554106755483
2,-3.750000,25.125000,-49.062500,1554106755483
4,-0.003438,-0.017331,0.014347,1554106755483
-3, 0.137804, 0, 0, 0
