sensorType,x,y,z,timestamp
1,-0.001360,0.159262,9.924436,1554127376415
2,-2.375000,31.562500,-53.625000,1554127376416
4,0.002461,-0.000035,-0.004765,1554127376416
-3, 0.073355, 0, 0, 0
1,-0.000034,0.003982,0.248111,1554127376425
2,-0.059375,0.789062,-1.340624,1554127376425
4,0.000062,-0.000001,-0.000119,1554127376425
-3, 0.000000, 0, 0, 0
1,0.031287,0.127228,9.853749,1554127376435
2,-2.625000,32.062500,-54.375000,1554127376436
4,0.014469,0.004363,-0.005411,1554127376436
-3, 0.074714, 0, 0, 0
1,0.000749,0.007063,0.488251,1554127376445
2,-0.123516,1.570897,-2.666482,1554127376446
4,0.000422,0.000108,-0.000251,1554127376446
-3, 0.000000, 0, 0, 0
1,0.009443,0.145816,9.816208,1554127376455
2,-2.562500,32.125000,-54.500000,1554127376456
4,-0.005079,-0.002950,-0.008762,1554127376456
-3, 0.076075, 0, 0, 0
1,0.000966,0.010532,0.721450,1554127376465
2,-0.184490,2.334749,-3.962319,1554127376465
4,0.000284,0.000032,-0.000464,1554127376465
-3, 0.000000, 0, 0, 0
1,0.000966,0.010532,0.721450,1554127376475
2,-0.184490,2.334749,-3.962319,1554127376475
4,0.000284,0.000032,-0.000464,1554127376475
-3, 0.000000, 0, 0, 0
1,0.048803,0.177525,9.930966,1554127376486
2,-2.375000,32.250000,-54.500000,1554127376486
4,-0.036722,-0.002985,-0.006161,1554127376486
-3, 0.063347, 0, 0, 0
1,0.044570,0.185321,9.929961,1554127376495
2,-2.312500,32.250000,-54.562500,1554127376496
4,-0.036495,0.003822,-0.003630,1554127376496
-3, 0.062079, 0, 0, 0
1,0.035664,0.155298,9.947975,1554127376506
2,-2.187500,32.312500,-54.750000,1554127376506
4,-0.031067,0.015307,0.000942,1554127376506
-3, 0.059970, 0, 0, 0
1,-0.018857,0.144878,9.939920,1554127376515
2,-2.062500,32.375000,-54.812500,1554127376516
4,-0.024731,0.023579,0.005498,1554127376517
-3, 0.065221, 0, 0, 0
1,-0.026049,0.127506,9.965826,1554127376525
2,-2.000000,32.375000,-54.812500,1554127376526
4,-0.018186,0.032446,0.015673,1554127376526
-3, 0.064713, 0, 0, 0
1,0.021902,0.156811,10.008759,1554127376535
2,-2.187500,32.437500,-54.875000,1554127376536
4,-0.006405,0.044506,0.021921,1554127376537
-3, 0.062017, 0, 0, 0
1,0.095347,0.156619,10.052832,1554127376545
2,-1.937500,32.375000,-54.875000,1554127376546
4,0.014137,0.049498,0.018029,1554127376547
-3, 0.042620, 0, 0, 0
1,0.111263,0.278312,10.061394,1554127376555
2,-1.875000,32.250000,-55.062500,1554127376556
4,0.040073,0.041120,0.010751,1554127376556
-3, 0.037482, 0, 0, 0
1,0.061225,0.321924,10.039845,1554127376566
2,-1.937500,32.125000,-55.062500,1554127376567
4,0.070721,0.026826,-0.000820,1554127376567
-3, 0.047249, 0, 0, 0
1,0.062862,0.297504,9.958059,1554127376575
2,-2.000000,32.062500,-55.125000,1554127376576
4,0.093148,0.008221,-0.009058,1554127376576
-3, 0.048989, 0, 0, 0
1,0.059529,0.303977,9.823841,1554127376585
2,-2.125000,31.937500,-55.312500,1554127376586
4,0.095592,-0.011205,-0.021537,1554127376586
-3, 0.053165, 0, 0, 0
1,0.042119,0.291939,9.736586,1554127376595
2,-2.062500,32.000000,-55.250000,1554127376595
4,0.075922,-0.022340,-0.031015,1554127376596
-3, 0.054150, 0, 0, 0
1,-0.061857,0.289057,9.626368,1554127376605
2,-2.000000,31.750000,-55.312500,1554127376606
4,0.041975,-0.014155,-0.024871,1554127376606
-3, 0.070413, 0, 0, 0
1,-0.105038,0.311361,9.567508,1554127376616
2,-2.062500,31.812500,-55.187500,1554127376616
4,0.004433,-0.009634,-0.016232,1554127376616
-3, 0.079269, 0, 0, 0
1,-0.082332,0.332861,9.573704,1554127376625
2,-2.000000,31.875000,-55.125000,1554127376626
4,-0.027332,0.003700,-0.011903,1554127376626
-3, 0.073128, 0, 0, 0
1,-0.097952,0.312319,9.605029,1554127376635
2,-2.000000,32.062500,-55.125000,1554127376636
4,-0.046059,0.022934,-0.001780,1554127376636
-3, 0.075574, 0, 0, 0
1,-0.115697,0.284297,9.698021,1554127376645
2,-2.062500,32.187500,-54.937500,1554127376646
4,-0.052726,0.034959,0.006388,1554127376646
-3, 0.080274, 0, 0, 0
1,-0.075465,0.281472,9.747695,1554127376655
2,-1.750000,32.375000,-55.125000,1554127376656
4,-0.047246,0.031102,0.010350,1554127376656
-3, 0.064023, 0, 0, 0
1,0.004712,0.297341,9.874683,1554127376665
2,-1.625000,32.375000,-54.875000,1554127376665
4,-0.033493,0.025011,0.008133,1554127376666
-3, 0.046973, 0, 0, 0
1,0.106542,0.306123,10.002170,1554127376675
2,-1.562500,32.500000,-54.687500,1554127376675
4,-0.006702,0.030700,-0.001937,1554127376676
-3, 0.028680, 0, 0, 0
1,0.132390,0.303297,10.100132,1554127376685
2,-1.625000,32.375000,-54.687500,1554127376685
4,0.024330,0.024522,-0.018239,1554127376686
-3, 0.026701, 0, 0, 0
1,0.106801,0.331252,10.170617,1554127376695
2,-1.750000,32.500000,-54.312500,1554127376695
4,0.060772,0.007505,-0.033004,1554127376696
-3, 0.034426, 0, 0, 0
1,0.092234,0.370010,10.133364,1554127376705
