sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1557455913944
2,0.000000,0.000000,0.000000,1557455913944
4,0.000000,0.000000,0.000000,1557455913944
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1557455913952
2,0.000000,0.000000,0.000000,1557455913952
4,0.000000,0.000000,0.000000,1557455913952
-3, 0.000000, 0, 0, 0
1,0.589740,0.117354,9.987192,1557455913962
2,-9.312500,-27.312500,-40.437500,1557455913962
4,0.040736,-0.052761,0.033510,1557455913962
-3, 2.889437, 0, 0, 0
1,0.014743,0.002934,0.249680,1557455913972
2,-0.232812,-0.682812,-1.010936,1557455913972
4,0.001018,-0.001319,0.000838,1557455913972
-3, 0.000000, 0, 0, 0
1,0.688390,0.087676,9.710365,1557455913984
2,-9.500000,-27.250000,-41.062500,1557455913984
4,0.035099,-0.072571,0.031433,1557455913984
-3, 2.901734, 0, 0, 0
1,0.031585,0.005052,0.486196,1557455913992
2,-0.464492,-1.346991,-2.012225,1557455913992
4,0.001870,-0.003100,0.001603,1557455913992
-3, 0.000000, 0, 0, 0
1,0.723403,0.077716,9.588998,1557455914002
2,-9.812500,-27.000000,-41.500000,1557455914003
4,-0.008796,-0.059463,0.019024,1557455914003
-3, 2.896682, 0, 0, 0
1,0.048880,0.006869,0.713766,1557455914012
2,-0.698192,-1.988316,-2.999418,1557455914012
4,0.001604,-0.004509,0.002038,1557455914012
-3, 0.000000, 0, 0, 0
1,0.048880,0.006869,0.713766,1557455914022
2,-0.698192,-1.988316,-2.999418,1557455914023
4,0.001604,-0.004509,0.002038,1557455914023
-3, 0.000000, 0, 0, 0
1,0.755859,0.073722,9.778188,1557455914033
2,-9.937500,-26.875000,-41.562500,1557455914033
4,-0.048660,-0.030404,-0.001676,1557455914033
-3, 2.894296, 0, 0, 0
1,0.743447,0.043230,9.851862,1557455914042
2,-10.250000,-26.875000,-41.687500,1557455914043
4,-0.042691,0.000698,-0.008116,1557455914043
-3, 2.882152, 0, 0, 0
1,0.083477,0.009408,1.163164,1557455914052
2,-1.162195,-3.217094,-4.906593,1557455914053
4,-0.000729,-0.005010,0.001694,1557455914053
-3, 2.892537, 0, 0, 0
1,0.627243,0.023042,9.952180,1557455914063
2,-10.250000,-26.437500,-41.750000,1557455914063
4,-0.012933,0.017104,-0.003648,1557455914063
-3, 2.860558, 0, 0, 0
1,0.638543,-0.001034,9.876225,1557455914072
2,-10.250000,-26.437500,-41.625000,1557455914073
4,-0.001082,0.011240,-0.000419,1557455914074
-3, 2.863707, 0, 0, 0
1,0.683698,0.041372,9.758000,1557455914083
2,-10.250000,-26.437500,-41.437500,1557455914083
4,-0.000942,0.027279,-0.002461,1557455914083
-3, 2.869429, 0, 0, 0
1,0.124935,0.010276,1.799291,1557455914092
2,-1.826882,-4.915448,-7.590481,1557455914092
4,-0.001033,-0.003281,0.001412,1557455914093
-3, 2.881442, 0, 0, 0
1,0.657687,0.079813,9.660643,1557455914102
2,-10.000000,-26.000000,-41.125000,1557455914102
4,-0.033144,0.062012,-0.000593,1557455914103
-3, 2.868579, 0, 0, 0
1,0.138254,0.012015,1.995825,1557455914112
2,-10.187500,-26.062500,-41.125000,1557455914113
4,-0.001836,-0.001649,0.001361,1557455914113
-3, 2.865211, 0, 0, 0
1,0.662428,0.101639,9.802206,1557455914122
2,-9.750000,-25.937500,-41.062500,1557455914123
4,-0.059865,0.083828,-0.000262,1557455914123
-3, 2.875227, 0, 0, 0
1,0.658578,0.107950,9.851020,1557455914132
2,-9.625000,-25.937500,-41.250000,1557455914133
4,-0.067946,0.069656,-0.002356,1557455914133
-3, 2.878881, 0, 0, 0
1,0.164039,0.016598,2.382485,1557455914142
2,-10.000000,-26.062500,-40.937500,1557455914142
