sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1550557719439
2,0.000000,0.000000,0.000000,1550557719440
4,0.000000,0.000000,0.000000,1550557719440
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1550557719445
2,0.000000,0.000000,0.000000,1550557719446
4,-0.017733,0.017942,0.001082,1550557719446
-3, 0.000000, 0, 0, 0
1,-0.582308,0.154330,9.742274,1550557719456
2,-17.625000,20.125000,-43.000000,1550557719457
4,-0.026354,0.018850,0.004136,1550557719457
-3, 0.770126, 0, 0, 0
1,-0.543934,0.208707,9.752666,1550557719465
2,-0.440625,0.503125,-1.074999,1550557719466
4,-0.025831,0.011310,0.004451,1550557719466
-3, 0.760423, 0, 0, 0
1,-0.471878,0.245655,9.834193,1550557719476
2,-17.937500,20.937500,-42.625000,1550557719476
4,-0.010071,0.000436,-0.003107,1550557719476
-3, 0.737459, 0, 0, 0
1,-0.038894,0.014896,0.715107,1550557719485
2,-0.878046,1.013983,-2.113748,1550557719486
4,-0.001919,0.001150,0.000154,1550557719486
-3, 0.000000, 0, 0, 0
1,-0.038894,0.014896,0.715107,1550557719495
2,-0.878046,1.013983,-2.113748,1550557719495
4,-0.001919,0.001150,0.000154,1550557719496
-3, 0.000000, 0, 0, 0
1,-0.038894,0.014896,0.715107,1550557719506
2,-0.878046,1.013983,-2.113748,1550557719506
4,-0.001919,0.001150,0.000154,1550557719506
-3, 0.000000, 0, 0, 0
1,-0.525757,0.140147,9.809169,1550557719516
2,-17.750000,20.812500,-42.562500,1550557719516
4,-0.015882,-0.005585,0.002147,1550557719516
-3, 0.751586, 0, 0, 0
1,-0.051066,0.018028,0.942458,1550557719526
2,-1.299845,1.508946,-3.124966,1550557719527
4,-0.002268,0.000982,0.000204,1550557719527
-3, 0.000000, 0, 0, 0
1,-0.543819,0.142407,9.836338,1550557719536
2,-17.750000,20.812500,-42.750000,1550557719536
4,-0.002268,0.000982,0.000204,1550557719536
-3, 0.753351, 0, 0, 0
1,-0.573584,0.138404,9.876761,1550557719546
2,-17.625000,20.875000,-42.812500,1550557719546
4,-0.021939,0.003473,0.008796,1550557719546
-3, 0.752207, 0, 0, 0
1,-0.570452,0.169931,9.898195,1550557719557
2,-17.562500,20.750000,-42.687500,1550557719557
4,-0.019583,0.002391,0.011100,1550557719557
-3, 0.749937, 0, 0, 0
1,-0.542670,0.165937,9.911152,1550557719566
2,-17.250000,20.687500,-42.687500,1550557719566
4,-0.015795,0.001606,0.011275,1550557719566
-3, 0.740891, 0, 0, 0
1,-0.498071,0.150863,9.909342,1550557719576
2,-17.312500,20.625000,-42.812500,1550557719576
4,-0.012514,0.002531,0.009128,1550557719576
-3, 0.740718, 0, 0, 0
1,-0.455502,0.183405,9.875813,1550557719585
2,-17.375000,20.562500,-42.687500,1550557719586
4,-0.011257,0.005149,-0.000087,1550557719586
-3, 0.735960, 0, 0, 0
1,-0.472836,0.187179,9.852044,1550557719596
2,-17.187500,20.375000,-42.687500,1550557719596
4,-0.017541,0.003944,-0.010332,1550557719596
-3, 0.737128, 0, 0, 0
1,-0.527146,0.202176,9.899641,1550557719605
2,-17.125000,20.375000,-42.750000,1550557719606
4,-0.019635,0.006126,-0.016476,1550557719606
-3, 0.739892, 0, 0, 0
1,-0.609995,0.184296,9.935650,1550557719615
2,-17.062500,20.062500,-42.812500,1550557719616
4,-0.015499,0.012497,-0.012427,1550557719616
-3, 0.756339, 0, 0, 0
1,-0.651797,0.168494,9.931369,1550557719625
2,-17.000000,19.812500,-42.500000,1550557719626
4,-0.003386,0.012182,-0.001414,1550557719626
-3, 0.766475, 0, 0, 0
1,-0.609813,0.177669,9.933553,1550557719636
2,-17.062500,20.000000,-42.500000,1550557719636
4,0.009966,0.007435,0.004189,1550557719636
-3, 0.758138, 0, 0, 0
1,-0.518488,0.140923,9.885209,1550557719645
2,-17.125000,19.875000,-42.750000,1550557719646
4,0.014591,0.006615,0.003892,1550557719646
-3, 0.757089, 0, 0, 0
1,-0.486435,0.109109,9.817874,1550557719655
2,-17.250000,19.687500,-43.000000,1550557719656
4,0.010175,0.008290,-0.000768,1550557719656
-3, 0.765235, 0, 0, 0
1,-0.500426,0.105623,9.799007,1550557719666
2,-17.312500,19.625000,-42.937500,1550557719666
4,0.002094,0.002094,-0.004974,1550557719666
-3, 0.770331, 0, 0, 0
1,-0.524742,0.109310,9.824780,1550557719675
2,-17.312500,19.562500,-42.937500,1550557719676
4,0.002478,-0.004957,-0.006632,1550557719676
-3, 0.774050, 0, 0, 0
1,-0.522472,0.134918,9.849659,1550557719686
2,-17.562500,19.625000,-42.687500,1550557719686
4,0.007994,-0.005952,-0.003264,1550557719686
-3, 0.775535, 0, 0, 0
1,-0.515548,0.169471,9.835831,1550557719695
2,-17.562500,19.750000,-42.687500,1550557719696
4,0.010228,0.001012,-0.004294,1550557719696
-3, 0.768207, 0, 0, 0
1,-0.539988,0.220056,9.791222,1550557719705
2,-17.625000,20.000000,-42.437500,1550557719706
4,0.005376,0.002461,-0.005096,1550557719706
-3, 0.761205, 0, 0, 0
1,-0.568422,0.222287,9.776149,1550557719715
2,-17.625000,20.250000,-42.812500,1550557719716
4,-0.005358,0.003194,-0.001588,1550557719716
-3, 0.758482, 0, 0, 0
1,-0.599757,0.223647,9.883121,1550557719726
2,-17.750000,20.125000,-43.000000,1550557719726
4,-0.012008,0.010385,0.001536,1550557719726
-3, 0.767453, 0, 0, 0
1,-0.582030,0.061493,10.016574,1550557719736
2,-17.750000,20.125000,-43.000000,1550557719736
4,-0.001100,0.031748,0.004538,1550557719737
-3, 0.781287, 0, 0, 0
1,-0.554229,0.159186,10.013030,1550557719745
2,-17.750000,20.187500,-43.000000,1550557719746
4,0.025848,0.052290,0.009599,1550557719746
-3, 0.767049, 0, 0, 0
1,-0.604019,0.221224,9.891827,1550557719755
2,-17.750000,20.125000,-43.062500,1550557719756
4,0.042726,0.039514,0.012549,1550557719756
-3, 0.768165, 0, 0, 0
1,-0.621650,0.188357,9.857532,1550557719765
2,-17.812500,20.062500,-43.062500,1550557719766
4,0.041853,0.001082,0.013352,1550557719766
-3, 0.776463, 0, 0, 0
1,-0.480296,0.200893,9.957993,1550557719775
2,-18.000000,20.125000,-43.375000,1550557719776
4,0.041853,-0.025255,0.007226,1550557719776
-3, 0.763291, 0, 0, 0
1,-0.425095,0.189410,9.954602,1550557719785
2,-17.937500,20.187500,-43.437500,1550557719786
4,0.043860,-0.017244,-0.004346,1550557719786
-3, 0.755488, 0, 0, 0
1,-0.455013,0.096640,9.870288,1550557719796
2,-17.937500,20.062500,-43.562500,1550557719796
4,0.040457,-0.003718,-0.015586,1550557719796
-3, 0.771675, 0, 0, 0
1,-0.470997,0.085674,9.794842,1550557719805
2,-18.187500,19.875000,-43.437500,1550557719806
4,0.027978,-0.007418,-0.018989,1550557719806
-3, 0.785576, 0, 0, 0
1,-0.525795,0.079593,9.748863,1550557719816
