sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1557480836163
2,0.000000,0.000000,0.000000,1557480836164
4,0.000000,0.000000,0.000000,1557480836164
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1557480836170
2,0.000000,0.000000,0.000000,1557480836170
4,0.000000,0.000000,0.000000,1557480836170
-3, 0.000000, 0, 0, 0
1,0.052634,0.070677,9.886358,1557480836180
2,-32.500000,-4.812500,-29.750000,1557480836180
4,0.000785,-0.001553,-0.000105,1557480836180
-3, 1.712036, 0, 0, 0
1,0.055680,0.058840,9.900282,1557480836190
2,-32.562500,-5.062500,-29.875000,1557480836190
4,-0.000035,-0.002077,0.000175,1557480836190
-3, 1.720431, 0, 0, 0
1,0.002675,0.003194,0.488487,1557480836200
2,-1.606248,-0.243867,-1.472030,1557480836200
4,0.000018,-0.000090,0.000002,1557480836200
-3, 0.000000, 0, 0, 0
1,0.049886,0.050747,9.874444,1557480836210
2,-32.375000,-5.312500,-29.687500,1557480836210
4,-0.000175,-0.001274,0.000209,1557480836210
-3, 1.729545, 0, 0, 0
1,0.003855,0.004383,0.723135,1557480836220
2,-2.375466,-0.370583,-2.177416,1557480836220
4,0.000013,-0.000119,0.000007,1557480836220
-3, 0.000000, 0, 0, 0
1,0.057269,0.040749,9.898789,1557480836230
2,-32.312500,-5.250000,-30.187500,1557480836230
4,-0.000733,-0.000663,-0.000157,1557480836230
-3, 1.728934, 0, 0, 0
1,0.043661,0.038077,9.877241,1557480836240
2,-32.500000,-5.125000,-30.500000,1557480836241
4,-0.000541,-0.000017,0.000314,1557480836241
-3, 1.724279, 0, 0, 0
1,0.006152,0.006111,1.175644,1557480836250
2,-3.858294,-0.608379,-3.568225,1557480836250
4,-0.000019,-0.000130,0.000011,1557480836250
-3, 1.723195, 0, 0, 0
1,0.053908,0.050010,9.859370,1557480836260
2,-32.250000,-5.062500,-30.500000,1557480836262
4,-0.000209,0.000541,-0.000244,1557480836262
-3, 1.722564, 0, 0, 0
1,0.044360,0.054597,9.886291,1557480836270
2,-31.937500,-5.125000,-30.500000,1557480836270
4,-0.000157,-0.000122,-0.000332,1557480836270
-3, 1.725391, 0, 0, 0
1,0.049100,0.051025,9.922664,1557480836280
2,-32.000000,-5.062500,-30.562500,1557480836280
4,0.000209,0.000489,-0.000489,1557480836280
-3, 1.723590, 0, 0, 0
1,0.046811,0.057298,9.899698,1557480836290
2,-31.937500,-5.062500,-30.625000,1557480836290
4,0.000471,0.000175,0.000175,1557480836290
-3, 1.723236, 0, 0, 0
