sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1550558291832
2,0.000000,0.000000,0.000000,1550558291833
4,0.000000,0.000000,0.000000,1550558291833
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1550558291840
2,0.000000,0.000000,0.000000,1550558291840
4,0.000000,0.000000,0.000000,1550558291840
-3, 0.000000, 0, 0, 0
1,-0.109559,-0.447304,9.827997,1550558291851
2,4.562500,-16.000000,-47.562500,1550558291851
4,-0.016389,-0.004084,0.007330,1550558291851
-3, -2.922968, 0, 0, 0
1,-0.129708,-0.486722,9.868852,1550558291860
2,4.750000,-15.125000,-48.000000,1550558291861
4,0.016825,0.014312,0.007732,1550558291861
-3, -2.910106, 0, 0, 0
1,-0.005913,-0.023071,0.486278,1550558291870
2,0.229961,-0.768124,-2.359334,1550558291871
4,0.000021,0.000258,0.000372,1550558291871
-3, 0.000000, 0, 0, 0
1,-0.142216,-0.500848,9.922041,1550558291880
2,4.625000,-14.750000,-47.875000,1550558291880
4,0.030613,0.035797,0.009913,1550558291880
-3, -2.915833, 0, 0, 0
1,-0.009321,-0.035015,0.722172,1550558291890
2,0.339837,-1.117671,-3.497224,1550558291890
4,0.000786,0.001147,0.000611,1550558291890
-3, 0.000000, 0, 0, 0
1,-0.139084,-0.473650,9.768199,1550558291900
2,5.125000,-14.437500,-48.000000,1550558291900
4,0.025377,0.045239,0.007453,1550558291900
-3, -2.882391, 0, 0, 0
1,-0.012565,-0.045981,0.948323,1550558291910
2,0.459466,-1.450666,-4.609793,1550558291910
4,0.001401,0.002249,0.000782,1550558291910
-3, 0.000000, 0, 0, 0
1,-0.154531,-0.415624,9.856957,1550558291920
2,5.125000,-14.250000,-48.250000,1550558291920
4,0.002391,0.022934,0.003037,1550558291921
-3, -2.879351, 0, 0, 0
1,-0.171281,-0.410251,9.841826,1550558291930
2,5.125000,-14.062500,-48.437500,1550558291930
4,-0.002251,0.008831,0.001868,1550558291931
-3, -2.881232, 0, 0, 0
1,-0.147224,-0.405243,9.711907,1550558291941
2,5.187500,-14.062500,-48.312500,1550558291942
4,-0.017209,0.000995,-0.000768,1550558291942
-3, -2.871138, 0, 0, 0
1,-0.185809,-0.415490,9.719559,1550558291950
2,5.187500,-14.000000,-48.500000,1550558291950
4,-0.041539,-0.010716,0.001274,1550558291951
-3, -2.882367, 0, 0, 0
1,-0.166071,-0.473707,9.742372,1550558291960
2,5.375000,-14.125000,-48.625000,1550558291960
4,-0.061540,-0.019042,0.003176,1550558291960
-3, -2.872368, 0, 0, 0
1,-0.085971,-0.470978,9.748423,1550558291970
2,5.250000,-14.000000,-48.500000,1550558291972
4,-0.072152,-0.014224,0.000244,1550558291972
-3, -2.854399, 0, 0, 0
1,-0.089926,-0.365796,9.818803,1550558291980
2,5.187500,-13.812500,-48.687500,1550558291981
4,-0.072501,0.004555,-0.008762,1550558291981
-3, -2.846834, 0, 0, 0
1,-0.067660,-0.391921,9.938858,1550558291990
2,5.250000,-13.875000,-48.812500,1550558291991
4,-0.056758,0.021328,-0.010245,1550558291991
-3, -2.839657, 0, 0, 0
1,-0.055632,-0.471562,10.010522,1550558292000
2,5.250000,-13.562500,-48.687500,1550558292000
4,-0.030159,0.036460,-0.010507,1550558292001
-3, -2.837016, 0, 0, 0
1,-0.129373,-0.498980,10.064984,1550558292010
2,5.312500,-13.687500,-48.812500,1550558292010
4,0.002356,0.039602,-0.010908,1550558292011
-3, -2.858281, 0, 0, 0
1,-0.165669,-0.461171,10.075510,1550558292020
2,5.437500,-13.562500,-48.625000,1550558292020
4,0.031765,0.038118,-0.009791,1550558292021
-3, -2.855681, 0, 0, 0
1,-0.183530,-0.374961,9.956087,1550558292030
2,5.500000,-13.437500,-48.625000,1550558292031
4,0.054926,0.035395,-0.008709,1550558292031
-3, -2.848663, 0, 0, 0
1,-0.232678,-0.280457,9.827652,1550558292040
2,5.500000,-13.375000,-48.500000,1550558292040
4,0.058329,0.030212,-0.004416,1550558292040
-3, -2.854886, 0, 0, 0
1,-0.230533,-0.212557,9.781933,1550558292050
2,5.250000,-13.375000,-48.375000,1550558292050
4,0.050091,0.023894,0.001553,1550558292050
-3, -2.864100, 0, 0, 0
1,-0.246536,-0.233425,9.753192,1550558292060
2,5.187500,-13.312500,-48.687500,1550558292060
4,0.033161,0.012462,0.004102,1550558292060
-3, -2.874856, 0, 0, 0
1,-0.274462,-0.286222,9.725286,1550558292070
2,5.312500,-13.437500,-48.687500,1550558292071
4,0.010681,-0.003002,0.004520,1550558292071
-3, -2.882730, 0, 0, 0
1,-0.298356,-0.327058,9.722394,1550558292080
2,5.125000,-13.437500,-48.625000,1550558292080
4,-0.015935,-0.023562,0.005934,1550558292081
-3, -2.905127, 0, 0, 0
1,-0.290158,-0.371647,9.739919,1550558292090
2,5.187500,-13.500000,-48.562500,1550558292091
4,-0.038537,-0.038031,0.007208,1550558292091
-3, -2.902596, 0, 0, 0
1,-0.242169,-0.389699,9.859974,1550558292100
2,5.125000,-13.312500,-48.437500,1550558292100
4,-0.052796,-0.040212,0.006894,1550558292101
-3, -2.888625, 0, 0, 0
1,-0.246957,-0.391758,9.981484,1550558292110
2,5.000000,-13.375000,-48.687500,1550558292111
4,-0.050457,-0.030683,0.005341,1550558292111
-3, -2.898169, 0, 0, 0
1,-0.252923,-0.427949,10.030594,1550558292120
2,4.812500,-13.437500,-48.750000,1550558292120
4,-0.031660,-0.012095,0.008657,1550558292121
-3, -2.914577, 0, 0, 0
1,-0.197704,-0.444335,9.994624,1550558292130
2,5.062500,-13.437500,-48.812500,1550558292130
4,-0.002513,0.004328,0.012060,1550558292131
-3, -2.884750, 0, 0, 0
1,-0.157414,-0.433686,9.979052,1550558292143
2,5.125000,-13.375000,-48.937500,1550558292143
4,0.031433,0.012741,0.013125,1550558292144
-3, -2.867671, 0, 0, 0
1,-0.147502,-0.366188,9.941521,1550558292151
2,5.187500,-13.500000,-48.750000,1550558292151
4,0.065816,0.004835,0.014504,1550558292151
-3, -2.857510, 0, 0, 0
1,-0.130608,-0.321359,9.913566,1550558292160
2,5.187500,-13.375000,-48.687500,1550558292160
