sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1551065172078
2,0.000000,0.000000,0.000000,1551065172080
4,0.000000,0.000000,0.000000,1551065172081
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1551065172087
2,0.000000,0.000000,0.000000,1551065172088
4,0.000000,0.000000,0.000000,1551065172089
-3, 0.000000, 0, 0, 0
1,-0.911702,1.120266,9.918240,1551065172097
2,8.750000,-16.375000,-39.625000,1551065172098
4,0.009233,0.005428,-0.002723,1551065172099
-3, -2.733778, 0, 0, 0
1,-0.914499,1.109195,9.886444,1551065172107
2,8.000000,-16.125000,-40.125000,1551065172108
4,0.012619,0.009390,-0.004171,1551065172109
-3, -2.786264, 0, 0, 0
1,-0.900689,1.130906,9.821589,1551065172117
2,0.413281,-0.802265,-1.968982,1551065172118
4,0.007645,0.014888,-0.005376,1551065172119
-3, -2.755058, 0, 0, 0
1,-0.931431,1.125802,9.760365,1551065172127
2,8.250000,-15.937500,-40.000000,1551065172128
4,0.000718,0.000730,-0.000301,1551065172129
-3, -2.766327, 0, 0, 0
1,-0.999531,1.117374,9.700999,1551065172137
2,8.562500,-15.875000,-39.812500,1551065172138
4,-0.002653,0.004067,-0.001484,1551065172138
-3, -2.763296, 0, 0, 0
1,-0.110885,0.133263,1.167007,1551065172147
2,0.808031,-1.548004,-3.842075,1551065172148
4,0.000634,0.000813,-0.000330,1551065172148
-3, -2.759509, 0, 0, 0
1,-0.110885,0.133263,1.167007,1551065172157
2,0.808031,-1.548004,-3.842075,1551065172157
4,0.000634,0.000813,-0.000330,1551065172158
-3, -2.759509, 0, 0, 0
1,-0.110885,0.133263,1.167007,1551065172167
2,0.808031,-1.548004,-3.842075,1551065172168
4,0.000634,0.000813,-0.000330,1551065172168
-3, -2.759509, 0, 0, 0
1,-0.983959,1.158707,9.689736,1551065172177
2,8.625000,-15.937500,-39.687500,1551065172178
4,0.000698,0.000942,0.002461,1551065172178
-3, -2.749603, 0, 0, 0
1,-0.877944,1.173303,9.697657,1551065172187
2,8.812500,-15.625000,-39.562500,1551065172188
4,0.001326,-0.000838,0.005044,1551065172188
-3, -2.688654, 0, 0, 0
1,-0.876220,1.145530,9.686586,1551065172197
2,1.198681,-2.250672,-5.608816,1551065172198
4,-0.004608,0.005655,0.001222,1551065172198
-3, -2.728118, 0, 0, 0
1,-0.169464,0.208291,1.790479,1551065172207
2,1.198681,-2.250672,-5.608816,1551065172208
4,0.000521,0.000897,-0.000094,1551065172208
-3, -2.743368, 0, 0, 0
1,-0.895336,1.138424,9.692591,1551065172217
2,9.125000,-15.687500,-39.312500,1551065172217
4,-0.013998,0.003142,-0.004590,1551065172218
-3, -2.677795, 0, 0, 0
1,-0.893909,1.085962,9.842851,1551065172227
2,9.062500,-15.812500,-39.125000,1551065172227
4,-0.033144,0.022532,-0.011624,1551065172228
-3, -2.692088, 0, 0, 0
1,-0.205269,0.252905,2.184402,1551065172237
2,1.588480,-2.917240,-7.268247,1551065172237
4,-0.000674,0.001493,-0.000492,1551065172238
-3, -2.727714, 0, 0, 0
1,-0.205269,0.252905,2.184402,1551065172247
2,1.588480,-2.917240,-7.268247,1551065172247
4,-0.000674,0.001493,-0.000492,1551065172248
-3, -2.727714, 0, 0, 0
1,-0.205269,0.252905,2.184402,1551065172257
2,1.588480,-2.917240,-7.268247,1551065172257
4,-0.000674,0.001493,-0.000492,1551065172258
-3, -2.727714, 0, 0, 0
1,-0.205269,0.252905,2.184402,1551065172267
2,1.588480,-2.917240,-7.268247,1551065172267
4,-0.000674,0.001493,-0.000492,1551065172268
-3, -2.727714, 0, 0, 0
1,-0.205269,0.252905,2.184402,1551065172277
2,1.588480,-2.917240,-7.268247,1551065172277
4,-0.000674,0.001493,-0.000492,1551065172277
-3, -2.727714, 0, 0, 0
1,-0.205269,0.252905,2.184402,1551065172287
2,1.588480,-2.917240,-7.268247,1551065172287
4,-0.000674,0.001493,-0.000492,1551065172287
