sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1548411480349
2,0.000000,0.000000,0.000000,1548411480350
4,0.000000,0.000000,0.000000,1548411480350
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1548411480356
2,0.000000,0.000000,0.000000,1548411480356
4,0.000000,0.000000,0.000000,1548411480356
-3, 0.000000, 0, 0, 0
1,0.594787,1.738717,9.660604,1548411480366
2,-2.812500,35.562500,-41.562500,1548411480366
4,-0.000209,-0.011816,0.003840,1548411480366
-3, 0.005974, 0, 0, 0
1,0.628133,1.692653,9.646890,1548411480376
2,-3.375000,34.812500,-41.437500,1548411480376
4,-0.010175,-0.004712,0.002880,1548411480376
-3, 0.016291, 0, 0, 0
1,0.030201,0.084697,0.476649,1548411480386
2,-0.152930,1.737147,-2.049021,1548411480386
4,-0.000259,-0.000406,0.000166,1548411480386
-3, 0.000000, 0, 0, 0
1,0.693074,1.591541,9.694879,1548411480396
2,-3.125000,35.000000,-41.375000,1548411480396
4,-0.013195,0.010629,-0.010297,1548411480396
-3, 0.004042, 0, 0, 0
1,0.046773,0.122369,0.707105,1548411480406
2,-0.227231,2.568717,-3.032170,1548411480406
4,-0.000583,-0.000130,-0.000096,1548411480406
-3, 0.000000, 0, 0, 0
1,0.586244,1.592058,9.752752,1548411480416
2,-3.250000,34.875000,-41.562500,1548411480417
4,-0.007261,-0.001326,-0.019775,1548411480417
-3, 0.018242, 0, 0, 0
1,0.060260,0.159111,0.933246,1548411480426
2,-0.302800,3.376374,-3.995427,1548411480426
4,-0.000750,-0.000160,-0.000588,1548411480426
-3, 0.000000, 0, 0, 0
1,0.486923,1.721326,9.763047,1548411480436
2,-3.187500,34.875000,-41.625000,1548411480436
4,-0.007295,-0.010350,-0.000209,1548411480436
-3, 0.026689, 0, 0, 0
1,0.593532,1.725626,9.736500,1548411480447
2,-3.562500,34.437500,-41.625000,1548411480447
4,-0.004276,0.007784,0.012182,1548411480448
-3, 0.024837, 0, 0, 0
1,0.083991,0.236353,1.368553,1548411480456
2,-3.312500,34.625000,-41.687500,1548411480456
4,-0.000998,-0.000210,-0.000259,1548411480457
-3, 0.018255, 0, 0, 0
1,0.691800,1.668174,9.780506,1548411480466
2,-3.625000,34.750000,-41.812500,1548411480466
4,-0.000192,0.007819,0.007837,1548411480466
-3, 0.016122, 0, 0, 0
1,0.679216,1.678948,9.780554,1548411480476
2,-3.750000,34.562500,-41.687500,1548411480476
4,0.007959,-0.004154,-0.009966,1548411480476
