sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1548406128150
2,0.000000,0.000000,0.000000,1548406128151
4,0.000000,0.000000,0.000000,1548406128151
-3, 0.000000, 0, 0, 0
1,0.000000,0.000000,0.000000,1548406128157
2,0.000000,0.000000,0.000000,1548406128157
4,0.000000,0.000000,0.000000,1548406128157
-3, 0.000000, 0, 0, 0
1,0.157874,0.101169,9.868909,1548406128167
2,10.062500,-2.500000,-42.875000,1548406128168
4,-0.004189,-0.001623,-0.012060,1548406128168
-3, -1.760372, 0, 0, 0
1,0.139457,0.118350,9.890840,1548406128177
2,9.750000,-1.937500,-42.812500,1548406128177
4,-0.004677,0.002304,-0.012933,1548406128177
-3, -1.707760, 0, 0, 0
1,0.007335,0.005425,0.487825,1548406128187
2,0.489023,-0.109375,-2.115389,1548406128187
4,-0.000219,0.000018,-0.000617,1548406128187
-3, 0.000000, 0, 0, 0
1,0.007335,0.005425,0.487825,1548406128197
2,0.489023,-0.109375,-2.115389,1548406128197
4,-0.000219,0.000018,-0.000617,1548406128197
-3, 0.000000, 0, 0, 0
1,0.063829,0.112518,9.920375,1548406128207
2,9.562500,-1.937500,-42.937500,1548406128207
4,0.000977,0.002461,-0.008168,1548406128208
-3, -1.717234, 0, 0, 0
1,0.049723,0.112144,9.886579,1548406128217
2,9.625000,-1.750000,-43.062500,1548406128217
4,0.002269,0.006667,-0.005777,1548406128217
-3, -1.698335, 0, 0, 0
1,0.009771,0.010703,0.952712,1548406128227
2,0.938588,-0.194951,-4.134104,1548406128228
4,-0.000128,0.000244,-0.000930,1548406128228
-3, 0.000000, 0, 0, 0
1,0.062326,0.134506,9.835294,1548406128238
2,9.812500,-1.687500,-43.000000,1548406128238
4,-0.000128,0.000244,-0.000930,1548406128239
-3, -1.679462, 0, 0, 0
1,0.009519,0.131269,9.884759,1548406128247
2,9.687500,-1.375000,-43.125000,1548406128247
4,-0.015813,0.009774,-0.005655,1548406128248
-3, -1.653080, 0, 0, 0
1,0.011046,0.016735,1.392526,1548406128257
2,1.373612,-0.260833,-6.056231,1548406128257
4,-0.000520,0.000482,-0.001048,1548406128258
-3, -1.702398, 0, 0, 0
1,0.011046,0.016735,1.392526,1548406128267
2,1.373612,-0.260833,-6.056231,1548406128268
4,-0.000520,0.000482,-0.001048,1548406128268
-3, -1.702398, 0, 0, 0
1,0.150892,0.108591,9.908634,1548406128277
2,9.937500,-1.250000,-43.312500,1548406128278
4,0.004276,-0.037786,-0.016389,1548406128278
-3, -1.644000, 0, 0, 0
1,0.177726,0.111809,9.884625,1548406128289
2,10.000000,-1.312500,-43.375000,1548406128289
4,0.010856,-0.033877,-0.020874,1548406128290
-3, -1.647099, 0, 0, 0
1,0.164788,0.131595,9.870173,1548406128297
2,9.937500,-1.437500,-43.375000,1548406128297
4,0.013771,-0.017872,-0.021188,1548406128298
-3, -1.651435, 0, 0, 0
1,0.098766,0.169079,9.829596,1548406128307
2,9.812500,-1.375000,-43.375000,1548406128307
4,0.009669,-0.000663,-0.012654,1548406128308
-3, -1.632253, 0, 0, 0
1,0.067976,0.179192,9.833982,1548406128317
2,9.562500,-1.562500,-43.312500,1548406128318
4,-0.000105,0.005637,-0.000541,1548406128318
-3, -1.649161, 0, 0, 0
1,0.066990,0.191057,9.870749,1548406128327
2,9.562500,-1.500000,-43.437500,1548406128327
4,-0.009041,0.011153,0.007610,1548406128328
-3, -1.637694, 0, 0, 0
1,0.104904,0.159119,9.931771,1548406128337
2,9.625000,-1.500000,-43.562500,1548406128337
4,-0.013456,0.011694,0.013404,1548406128338
-3, -1.650322, 0, 0, 0
1,0.101313,0.134631,9.977673,1548406128347
2,9.750000,-1.625000,-43.687500,1548406128347
4,-0.011746,0.010873,0.013212,1548406128348
-3, -1.672166, 0, 0, 0
1,0.106734,0.118714,10.025604,1548406128357
2,9.625000,-1.500000,-43.687500,1548406128357
4,-0.005568,0.008936,0.011275,1548406128357
-3, -1.668005, 0, 0, 0
1,0.106513,0.113409,10.014936,1548406128367
2,9.750000,-1.687500,-43.875000,1548406128367
4,0.003316,0.011153,0.005637,1548406128367
-3, -1.686932, 0, 0, 0
1,0.098517,0.126854,9.976533,1548406128377
2,9.625000,-1.500000,-43.687500,1548406128377
4,0.013020,0.015987,0.002077,1548406128377
-3, -1.664563, 0, 0, 0
1,0.118992,0.127410,9.919963,1548406128387
2,9.562500,-1.375000,-43.562500,1548406128387
4,0.014556,0.023771,-0.003334,1548406128388
-3, -1.651635, 0, 0, 0
1,0.098411,0.142417,9.949928,1548406128397
2,9.500000,-1.500000,-43.562500,1548406128398
4,0.017750,0.028658,-0.001885,1548406128398
-3, -1.658962, 0, 0, 0
1,0.096075,0.124767,9.965195,1548406128407
2,9.812500,-1.625000,-43.625000,1548406128407
4,0.026773,0.013299,0.000157,1548406128407
-3, -1.675948, 0, 0, 0
1,0.099656,0.156332,9.963135,1548406128417
2,9.875000,-1.500000,-43.562500,1548406128417
4,0.034959,0.002182,-0.002339,1548406128417
-3, -1.649967, 0, 0, 0
1,0.111838,0.136632,9.950762,1548406128427
