sensorType,x,y,z,timestamp
1,0.000000,0.000000,0.000000,1557749966395
2,0.000000,0.000000,0.000000,1557749966396
4,0.000000,0.000000,0.000000,1557749966396
-3, 0.000000, 0, 0, 0
1,-0.204130,-0.332746,9.834835,1557749966404
2,4.562500,-25.500000,-45.937500,1557749966404
4,0.028065,-0.023981,-0.031067,1557749966404
-3, -3.008941, 0, 0, 0
1,-0.230064,-0.349506,9.776751,1557749966419
2,4.625000,-25.562500,-46.187500,1557749966422
4,0.011188,0.003840,-0.013474,1557749966422
-3, -3.012273, 0, 0, 0
1,-0.010727,-0.016848,0.484142,1557749966424
2,0.226836,-1.260624,-2.274412,1557749966424
4,0.000964,-0.000489,-0.001094,1557749966424
-3, 0.000000, 0, 0, 0
1,-0.010727,-0.016848,0.484142,1557749966434
2,0.226836,-1.260624,-2.274412,1557749966434
4,0.000964,-0.000489,-0.001094,1557749966434
-3, 0.000000, 0, 0, 0
1,-0.147531,-0.297187,9.984549,1557749966444
2,4.812500,-25.187500,-46.312500,1557749966444
4,-0.002374,0.028152,0.012392,1557749966444
-3, -2.987391, 0, 0, 0
1,-0.014147,-0.023857,0.721652,1557749966454
2,0.341477,-1.858795,-3.375363,1557749966454
4,0.000880,0.000227,-0.000757,1557749966454
-3, 0.000000, 0, 0, 0
1,-0.014147,-0.023857,0.721652,1557749966464
2,0.341477,-1.858795,-3.375363,1557749966464
4,0.000880,0.000227,-0.000757,1557749966464
-3, 0.000000, 0, 0, 0
1,-0.101993,-0.252732,9.814666,1557749966474
2,5.000000,-25.187500,-46.312500,1557749966474
4,0.016633,-0.006824,0.004084,1557749966474
-3, -2.971907, 0, 0, 0
1,-0.016343,-0.029579,0.948977,1557749966484
2,0.457940,-2.442012,-4.448791,1557749966484
4,0.001274,0.000051,-0.000636,1557749966484
-3, 0.000000, 0, 0, 0
1,-0.172114,-0.255854,9.735188,1557749966495
2,4.812500,-25.187500,-46.000000,1557749966495
4,-0.009006,-0.002915,-0.000035,1557749966496
-3, -2.991212, 0, 0, 0
1,-0.244821,-0.284469,9.814752,1557749966504
2,4.812500,-25.187500,-45.875000,1557749966504
4,-0.024400,0.000192,0.001239,1557749966504
-3, -3.004131, 0, 0, 0
1,-0.259455,-0.256927,9.925297,1557749966514
2,4.875000,-25.500000,-45.750000,1557749966516
4,-0.025569,0.010524,0.007959,1557749966516
-3, -3.004596, 0, 0, 0
1,-0.264119,-0.248604,9.992919,1557749966524
2,4.687500,-25.625000,-45.625000,1557749966524
4,-0.013579,0.023544,0.016930,1557749966524
-3, -3.012231, 0, 0, 0
1,-0.267222,-0.280304,9.933946,1557749966534
2,4.875000,-25.562500,-45.750000,1557749966534
4,0.000960,0.024243,0.022759,1557749966534
-3, -3.006714, 0, 0, 0
1,-0.236643,-0.279250,9.854803,1557749966544
2,5.062500,-25.500000,-45.625000,1557749966544
4,0.013701,0.012078,0.025150,1557749966544
-3, -2.994600, 0, 0, 0
1,-0.190454,-0.301890,9.741987,1557749966554
2,4.937500,-25.375000,-45.750000,1557749966554
4,0.014434,0.000628,0.027367,1557749966554
-3, -2.991791, 0, 0, 0
